,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,589112006.0,572340007.0,564758842.0,557737960.0
Share Issued,589112006.0,572340007.0,564758842.0,557737960.0
Net Debt,601704000.0,556477000.0,,
Total Debt,4124133000.0,4462378000.0,4500165000.0,4262053000.0
Tangible Book Value,8237400000.0,6430227000.0,5420478000.0,6806556000.0
Invested Capital,11379192000.0,9961363000.0,9174102000.0,10974405000.0
Working Capital,5561516000.0,3604993000.0,5752320000.0,7958961000.0
Net Tangible Assets,8237400000.0,6430227000.0,5420478000.0,6806556000.0
Capital Lease Obligations,1117276000.0,1094845000.0,1041768000.0,686345000.0
Common Stock Equity,8372335000.0,6593830000.0,5715705000.0,7398697000.0
Total Capitalization,10100593000.0,9662938000.0,9054455000.0,10874405000.0
Total Equity Gross Minority Interest,8477576000.0,6697585000.0,5810824000.0,7424409000.0
Minority Interest,105241000.0,103755000.0,95119000.0,25712000.0
Stockholders Equity,8372335000.0,6593830000.0,5715705000.0,7398697000.0
Gains Losses Not Affecting Retained Earnings,-175888000.0,-91019000.0,-98725000.0,-22375000.0
Other Equity Adjustments,-175888000.0,-91019000.0,-98725000.0,-22375000.0
Retained Earnings,-8155264000.0,-8599306000.0,-8745541000.0,-7201498000.0
Additional Paid In Capital,16703192000.0,15283870000.0,14559690000.0,14622292000.0
Capital Stock,295000.0,285000.0,281000.0,278000.0
Common Stock,295000.0,285000.0,281000.0,278000.0
Total Liabilities Net Minority Interest,14147893000.0,12185647000.0,11191972000.0,11331616000.0
Total Non Current Liabilities Net Minority Interest,2851741000.0,4016706000.0,4256280000.0,4155180000.0
Other Non Current Liabilities,,6107000.0,107000.0,107000.0
Non Current Accrued Expenses,62666000.0,68429000.0,75228000.0,69212000.0
Tradeand Other Payables Non Current,138000000.0,6107000.0,107000.0,107000.0
Non Current Deferred Liabilities,110303000.0,72720000.0,73533000.0,111818000.0
Non Current Deferred Revenue,109895000.0,72587000.0,63566000.0,104826000.0
Non Current Deferred Taxes Liabilities,408000.0,133000.0,9967000.0,6992000.0
Long Term Debt And Capital Lease Obligation,2540772000.0,3869450000.0,4107412000.0,3974043000.0
Long Term Capital Lease Obligation,812514000.0,800342000.0,768662000.0,498335000.0
Long Term Debt,1728258000.0,3069108000.0,3338750000.0,3475708000.0
Current Liabilities,11296152000.0,8168941000.0,6935692000.0,7176436000.0
Other Current Liabilities,,,12020000.0,
Current Deferred Liabilities,1405785000.0,1208892000.0,1535083000.0,2644463000.0
Current Deferred Revenue,1405785000.0,1208892000.0,1535083000.0,2644463000.0
Current Debt And Capital Lease Obligation,1583361000.0,592928000.0,392753000.0,288010000.0
Current Capital Lease Obligation,304762000.0,294503000.0,273106000.0,188010000.0
Current Debt,1278599000.0,298425000.0,119647000.0,100000000.0
Other Current Borrowings,1278599000.0,298425000.0,119647000.0,100000000.0
Line Of Credit,,,,100000000.0
Payables And Accrued Expenses,8307006000.0,6367121000.0,4995836000.0,4243963000.0
Current Accrued Expenses,1604327000.0,1387122000.0,985598000.0,1098833000.0
Interest Payable,3363000.0,3737000.0,3917000.0,4540000.0
Payables,6702679000.0,4979999000.0,4010238000.0,3145130000.0
Other Payable,5656909000.0,4103569000.0,3440941000.0,2557175000.0
Dueto Related Parties Current,255896000.0,64081000.0,415000.0,74738000.0
Total Tax Payable,439853000.0,469802000.0,310234000.0,299637000.0
Income Tax Payable,115419000.0,223638000.0,176598000.0,181400000.0
Accounts Payable,350021000.0,342547000.0,258648000.0,213580000.0
Total Assets,22625469000.0,18883232000.0,17002796000.0,18756025000.0
Total Non Current Assets,5767801000.0,7109298000.0,4314784000.0,3620628000.0
Other Non Current Assets,34645000.0,28898000.0,28996000.0,52768000.0
Non Current Prepaid Assets,104809000.0,66302000.0,109047000.0,92826000.0
Non Current Deferred Assets,537874000.0,341050000.0,253702000.0,118122000.0
Non Current Deferred Taxes Assets,517383000.0,328961000.0,245226000.0,103755000.0
Non Current Note Receivables,108594000.0,20551000.0,21663000.0,28964000.0
Non Current Accounts Receivable,155000.0,2652000.0,6821000.0,3303000.0
Investments And Advances,2694305000.0,4262562000.0,1253593000.0,1052861000.0
Other Investments,,0.0,178233000.0,178298000.0
Investmentin Financial Assets,2509297000.0,4067553000.0,879256000.0,722144000.0
Held To Maturity Securities,39385000.0,49726000.0,64790000.0,66071000.0
Available For Sale Securities,2469912000.0,4017827000.0,814466000.0,656073000.0
Long Term Equity Investment,185008000.0,195009000.0,196104000.0,152419000.0
Goodwill And Other Intangible Assets,134935000.0,163603000.0,295227000.0,592141000.0
Other Intangible Assets,27310000.0,50821000.0,65019000.0,52517000.0
Goodwill,107625000.0,112782000.0,230208000.0,539624000.0
Net PPE,2152484000.0,2223680000.0,2345735000.0,1679643000.0
Accumulated Depreciation,-1454217000.0,-1249371000.0,-935784000.0,-599950000.0
Gross PPE,3606701000.0,3473051000.0,3281519000.0,2279593000.0
Leases,350104000.0,350194000.0,381443000.0,252778000.0
Construction In Progress,11391000.0,44884000.0,51575000.0,22952000.0
Other Properties,1248603000.0,1156811000.0,993863000.0,670476000.0
Machinery Furniture Equipment,1657705000.0,1601576000.0,1567894000.0,1135010000.0
Buildings And Improvements,70866000.0,40830000.0,14702000.0,1956000.0
Land And Improvements,268032000.0,278756000.0,272042000.0,196421000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,16857668000.0,11773934000.0,12688012000.0,15135397000.0
Other Current Assets,81330000.0,176345000.0,413338000.0,29263000.0
Assets Held For Sale Current,,0.0,25954000.0,0.0
Current Deferred Assets,225856000.0,197814000.0,271194000.0,517545000.0
Restricted Cash,1655171000.0,1410365000.0,1549574000.0,1551635000.0
Prepaid Assets,134814000.0,126884000.0,137877000.0,139478000.0
Inventory,143246000.0,125395000.0,109668000.0,117499000.0
Receivables,5996675000.0,4378431000.0,3286290000.0,2620934000.0
Other Receivables,1113183000.0,1153627000.0,782022000.0,570176000.0
Duefrom Related Parties Current,418430000.0,290254000.0,13421000.0,16095000.0
Taxes Receivable,106190000.0,207172000.0,168266000.0,145401000.0
Loans Receivable,4052215000.0,2464662000.0,2053767000.0,1500954000.0
Accounts Receivable,306657000.0,262716000.0,268814000.0,388308000.0
Allowance For Doubtful Accounts Receivable,-5089000.0,-9351000.0,-12818000.0,-5772000.0
Gross Accounts Receivable,311746000.0,272067000.0,281632000.0,394080000.0
Cash Cash Equivalents And Short Term Investments,8620576000.0,5358700000.0,6894117000.0,10159043000.0
Other Short Term Investments,6215423000.0,2547644000.0,864258000.0,911281000.0
Cash And Cash Equivalents,2405153000.0,2811056000.0,6029859000.0,9247762000.0
