,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,2955827000.0,1821427000.0,-2031975000.0,-598527000.0
Repayment Of Debt,-357978000.0,-259032000.0,-728553000.0,-3182000.0
Issuance Of Debt,185215000.0,223788000.0,87981000.0,2961532000.0
Issuance Of Capital Stock,146081000.0,10643000.0,50211000.0,4050055000.0
Capital Expenditure,-321593000.0,-258261000.0,-976283000.0,-807176000.0
Interest Paid Supplemental Data,144700000.0,119471000.0,103335000.0,44981000.0
Income Tax Paid Supplemental Data,515323000.0,318924000.0,313755000.0,207381000.0
End Cash Position,4081585000.0,4243657000.0,7610384000.0,10838140000.0
Beginning Cash Position,4243657000.0,7610384000.0,10838140000.0,7053393000.0
Effect Of Exchange Rate Changes,-83139000.0,-7964000.0,-143511000.0,-58218000.0
Changes In Cash,-78933000.0,-3358763000.0,-3084245000.0,3842965000.0
Financing Cash Flow,1684493000.0,366011000.0,400256000.0,7401589000.0
Cash Flow From Continuing Financing Activities,1684493000.0,366011000.0,400256000.0,7401589000.0
Net Other Financing Charges,1711175000.0,390612000.0,990617000.0,393184000.0
Net Common Stock Issuance,146081000.0,10643000.0,50211000.0,4050055000.0
Common Stock Issuance,146081000.0,10643000.0,50211000.0,4050055000.0
Net Issuance Payments Of Debt,-172763000.0,-35244000.0,-640572000.0,2958350000.0
Net Short Term Debt Issuance,,119687000.0,0.0,0.0
Short Term Debt Issuance,,119687000.0,0.0,0.0
Net Long Term Debt Issuance,-172763000.0,-35244000.0,-640572000.0,2958350000.0
Long Term Debt Payments,-357978000.0,-259032000.0,-728553000.0,-3182000.0
Long Term Debt Issuance,185215000.0,223788000.0,87981000.0,2961532000.0
Investing Cash Flow,-5040846000.0,-5804462000.0,-2428809000.0,-3767273000.0
Cash Flow From Continuing Investing Activities,-5040846000.0,-5804462000.0,-2428809000.0,-3767273000.0
Net Other Investing Changes,-2532291000.0,-999850000.0,-1166430000.0,-1220631000.0
Dividends Received Cfi,964000.0,912000.0,4674000.0,1632000.0
Net Investment Purchase And Sale,-2193935000.0,-4565351000.0,-349823000.0,-1707180000.0
Sale Of Investment,7467586000.0,3754406000.0,2281019000.0,798178000.0
Purchase Of Investment,-9661521000.0,-8319757000.0,-2630842000.0,-2505358000.0
Net Business Purchase And Sale,-229000.0,-43785000.0,-60943000.0,-34538000.0
Purchase Of Business,-229000.0,-43785000.0,-60943000.0,-34538000.0
Net Intangibles Purchase And Sale,-3440000.0,-16656000.0,-52105000.0,-34999000.0
Purchase Of Intangibles,-3440000.0,-16656000.0,-52105000.0,-34999000.0
Net PPE Purchase And Sale,-311915000.0,-179732000.0,-804182000.0,-771557000.0
Sale Of PPE,6238000.0,61873000.0,119996000.0,620000.0
Purchase Of PPE,-318153000.0,-241605000.0,-924178000.0,-772177000.0
Operating Cash Flow,3277420000.0,2079688000.0,-1055692000.0,208649000.0
Cash Flow From Continuing Operating Activities,3277420000.0,2079688000.0,-1055692000.0,208649000.0
Change In Working Capital,908238000.0,55109000.0,-1369628000.0,1276220000.0
Change In Other Working Capital,749323000.0,71597000.0,-926233000.0,968305000.0
Change In Other Current Liabilities,74608000.0,42473000.0,385911000.0,429366000.0
Change In Other Current Assets,-87387000.0,-47543000.0,-360472000.0,-418846000.0
Change In Payables And Accrued Expense,436770000.0,615231000.0,-72727000.0,790814000.0
Change In Accrued Expense,522785000.0,455088000.0,-39069000.0,545691000.0
Change In Payable,-86015000.0,160143000.0,-33658000.0,245123000.0
Change In Account Payable,28161000.0,81381000.0,43311000.0,99639000.0
Change In Tax Payable,-100873000.0,43598000.0,-4628000.0,105927000.0
Change In Income Tax Payable,-100873000.0,43598000.0,-4628000.0,105927000.0
Change In Prepaid Assets,-39411000.0,-344845000.0,-497889000.0,-395803000.0
Change In Inventory,-26292000.0,-14838000.0,1441000.0,-62735000.0
Change In Receivables,-199373000.0,-266966000.0,100341000.0,-34881000.0
Changes In Account Receivables,-48973000.0,7516000.0,98981000.0,-37066000.0
Other Non Cash Items,8502000.0,13252000.0,38012000.0,112864000.0
Stock Based Compensation,715839000.0,685030000.0,705896000.0,470324000.0
Unrealized Gain Loss On Investment Securities,,,,30449000.0
Provisionand Write Offof Assets,776937000.0,633942000.0,513690000.0,117427000.0
Asset Impairment Charge,1943000.0,119555000.0,387766000.0,1614000.0
Amortization Of Securities,-108953000.0,-50404000.0,-8332000.0,
Deferred Tax,-61468000.0,-88551000.0,-140553000.0,-975000.0
Deferred Income Tax,-61468000.0,-88551000.0,-140553000.0,-975000.0
Depreciation Amortization Depletion,389673000.0,440845000.0,428344000.0,279032000.0
Depreciation And Amortization,389673000.0,440845000.0,428344000.0,279032000.0
Amortization Cash Flow,35187000.0,28609000.0,23417000.0,18350000.0
Amortization Of Intangibles,35187000.0,28609000.0,23417000.0,18350000.0
Depreciation,354486000.0,412236000.0,404927000.0,260682000.0
Operating Gains Losses,198882000.0,108228000.0,46885000.0,-4827000.0
Earnings Losses From Equity Investments,9788000.0,7032000.0,-11156000.0,-5019000.0
Gain Loss On Investment Securities,262490000.0,135932000.0,216001000.0,43337000.0
Net Foreign Currency Exchange Gain Loss,-30775000.0,3814000.0,41737000.0,-45214000.0
Gain Loss On Sale Of Business,,,,-1598000.0
Net Income From Continuing Operations,447827000.0,162682000.0,-1657772000.0,-2043030000.0
