,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,,-35843650.0,-34083980.0,-74474790.0,-5326100.0
Tax Rate For Calcs,,0.17,0.17,0.17,0.17
Normalized EBITDA,,1417642000.0,1114808000.0,-588706000.0,-1267946000.0
Total Unusual Items,,-210845000.0,-200494000.0,-438087000.0,-31330000.0
Total Unusual Items Excluding Goodwill,,-210845000.0,-200494000.0,-438087000.0,-31330000.0
Net Income From Continuing Operation Net Minority Interest,,444321000.0,150726000.0,-1651421000.0,-2046759000.0
Reconciled Depreciation,,389673000.0,440845000.0,428344000.0,279032000.0
Reconciled Cost Of Revenue,,9614778000.0,7229913000.0,7264428000.0,6059455000.0
EBITDA,,1206797000.0,914314000.0,-1026793000.0,-1299276000.0
EBIT,,817124000.0,473469000.0,-1455137000.0,-1578308000.0
Net Interest Income,,327476000.0,290235000.0,70119000.0,-100794000.0
Interest Expense,,38341000.0,41075000.0,45396000.0,136876000.0
Interest Income,,365817000.0,331310000.0,115515000.0,36082000.0
Normalized Income,,619322350.0,317136020.0,-1287808790.0,-2020755100.0
Net Income From Continuing And Discontinued Operation,,444321000.0,150726000.0,-1651421000.0,-2046759000.0
Total Expenses,,16157714000.0,12720907000.0,13582270000.0,11538250000.0
Total Operating Income As Reported,,662152000.0,224778000.0,-1487508000.0,-1583060000.0
Diluted Average Shares,638227141.0,604713980.0,594405604.0,558119948.0,
Basic Average Shares,595023879.0,574966327.0,566612815.0,558119948.0,
Diluted EPS,2.52,0.74,0.25,-2.96,
Basic EPS,2.65,0.77,0.27,-2.96,
Diluted NI Availto Com Stockholders,,444321000.0,150726000.0,-1651421000.0,-2046759000.0
Net Income Common Stockholders,,444321000.0,150726000.0,-1651421000.0,-2046759000.0
Net Income,,444321000.0,150726000.0,-1651421000.0,-2046759000.0
Minority Interests,,-3506000.0,-11956000.0,6351000.0,-3729000.0
Net Income Including Noncontrolling Interests,,447827000.0,162682000.0,-1657772000.0,-2043030000.0
Net Income Continuous Operations,,447827000.0,162682000.0,-1657772000.0,-2043030000.0
Earnings From Equity Interest Net Of Tax,,-9788000.0,-7032000.0,11156000.0,5019000.0
Tax Provision,,321168000.0,262680000.0,168395000.0,332865000.0
Pretax Income,,778783000.0,432394000.0,-1500533000.0,-1715184000.0
Other Income Expense,,-210845000.0,-200494000.0,-438087000.0,-31330000.0
Special Income Charges,,42621000.0,-79325000.0,-155246000.0,-2069000.0
Other Special Charges,,-42621000.0,-38550000.0,-199697000.0,2069000.0
Impairment Of Capital Assets,,0.0,117875000.0,354943000.0,0.0
Gain On Sale Of Security,,-253466000.0,-121169000.0,-282841000.0,-29261000.0
Net Non Operating Interest Income Expense,,327476000.0,290235000.0,70119000.0,-100794000.0
Interest Expense Non Operating,,38341000.0,41075000.0,45396000.0,136876000.0
Interest Income Non Operating,,365817000.0,331310000.0,115515000.0,36082000.0
Operating Income,,662152000.0,342653000.0,-1132565000.0,-1583060000.0
Operating Expense,,6542936000.0,5490994000.0,6317842000.0,5478795000.0
Other Operating Expenses,,-180443000.0,-221021000.0,-279184000.0,-287946000.0
Provision For Doubtful Accounts,,776937000.0,633942000.0,513690000.0,117427000.0
Research And Development,,1206050000.0,1164126000.0,1376501000.0,831703000.0
Selling General And Administration,,4740392000.0,3913947000.0,4706835000.0,4817611000.0
Selling And Marketing Expense,,3472686000.0,2779223000.0,3269223000.0,3829743000.0
General And Administrative Expense,,1267706000.0,1134724000.0,1437612000.0,987868000.0
Other Gand A,,1267706000.0,1134724000.0,1437612000.0,987868000.0
Gross Profit,,7205088000.0,5833647000.0,5185277000.0,3895735000.0
Cost Of Revenue,,9614778000.0,7229913000.0,7264428000.0,6059455000.0
Total Revenue,,16819866000.0,13063560000.0,12449705000.0,9955190000.0
Operating Revenue,,16819866000.0,13063560000.0,12449705000.0,9955190000.0
