,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,,592019934.0,592019934.0,589112006.0,589112006.0
Share Issued,,592019934.0,592019934.0,589112006.0,589112006.0
Net Debt,,730478000.0,745661000.0,601704000.0,653656000.0
Total Debt,4243764000.0,4192153000.0,4148141000.0,4124133000.0,4403627000.0
Tangible Book Value,10075194000.0,9553900000.0,8836782000.0,8237400000.0,7771796000.0
Invested Capital,13051600000.0,12573133000.0,11892109000.0,11379192000.0,11108812000.0
Working Capital,6391710000.0,7010171000.0,5978033000.0,5561516000.0,5964776000.0
Net Tangible Assets,10075194000.0,9553900000.0,8836782000.0,8237400000.0,7771796000.0
Capital Lease Obligations,1387880000.0,1295866000.0,1219450000.0,1117276000.0,1211222000.0
Common Stock Equity,10195716000.0,9676846000.0,8963418000.0,8372335000.0,7916407000.0
Total Capitalization,10490350000.0,11214910000.0,10623212000.0,10100593000.0,10814074000.0
Total Equity Gross Minority Interest,10303809000.0,9783903000.0,9074341000.0,8477576000.0,8028579000.0
Minority Interest,108093000.0,107057000.0,110923000.0,105241000.0,112172000.0
Stockholders Equity,10195716000.0,9676846000.0,8963418000.0,8372335000.0,7916407000.0
Gains Losses Not Affecting Retained Earnings,-45141000.0,-18433000.0,-170679000.0,-175888000.0,42111000.0
Other Equity Adjustments,-45141000.0,-18433000.0,-170679000.0,-175888000.0,42111000.0
Retained Earnings,-6974214000.0,-7346242000.0,-7752214000.0,-8155264000.0,-8392333000.0
Additional Paid In Capital,17214773000.0,17041224000.0,16886015000.0,16703192000.0,16266340000.0
Capital Stock,298000.0,297000.0,296000.0,295000.0,289000.0
Common Stock,298000.0,297000.0,296000.0,295000.0,289000.0
Total Liabilities Net Minority Interest,16447493000.0,15656507000.0,14768732000.0,14147893000.0,13663111000.0
Total Non Current Liabilities Net Minority Interest,1756434000.0,2926344000.0,2967465000.0,2851741000.0,4073692000.0
Non Current Accrued Expenses,92440000.0,90636000.0,77506000.0,62666000.0,86822000.0
Tradeand Other Payables Non Current,132100000.0,132100000.0,132100000.0,138000000.0,95157000.0
Non Current Deferred Liabilities,190163000.0,197763000.0,190322000.0,110303000.0,98336000.0
Non Current Deferred Revenue,159612000.0,178360000.0,189150000.0,109895000.0,98068000.0
Non Current Deferred Taxes Liabilities,30551000.0,19403000.0,1172000.0,408000.0,268000.0
Long Term Debt And Capital Lease Obligation,1341731000.0,2505845000.0,2567537000.0,2540772000.0,3793377000.0
Long Term Capital Lease Obligation,1047097000.0,967781000.0,907743000.0,812514000.0,895710000.0
Long Term Debt,294634000.0,1538064000.0,1659794000.0,1728258000.0,2897667000.0
Current Liabilities,14691059000.0,12730163000.0,11801267000.0,11296152000.0,9589419000.0
Current Deferred Liabilities,1976647000.0,1770249000.0,1630687000.0,1405785000.0,1480959000.0
Current Deferred Revenue,1976647000.0,1770249000.0,1630687000.0,1405785000.0,1480959000.0
Current Debt And Capital Lease Obligation,2902033000.0,1686308000.0,1580604000.0,1583361000.0,610250000.0
Current Capital Lease Obligation,340783000.0,328085000.0,311707000.0,304762000.0,315512000.0
Current Debt,2561250000.0,1358223000.0,1268897000.0,1278599000.0,294738000.0
Other Current Borrowings,2561250000.0,1358223000.0,1268897000.0,1278599000.0,294738000.0
Payables And Accrued Expenses,9812379000.0,9273606000.0,8589976000.0,8307006000.0,7498210000.0
Current Accrued Expenses,2630808000.0,2420402000.0,2163786000.0,1604327000.0,2148427000.0
Interest Payable,,,,3363000.0,
Payables,7181571000.0,6853204000.0,6426190000.0,6702679000.0,5349783000.0
Other Payable,6259875000.0,6207904000.0,5758128000.0,5656909000.0,4803372000.0
Dueto Related Parties Current,253051000.0,109991000.0,188973000.0,255896000.0,164910000.0
Total Tax Payable,188250000.0,176217000.0,158141000.0,439853000.0,106730000.0
Income Tax Payable,188250000.0,176217000.0,158141000.0,115419000.0,106730000.0
Accounts Payable,480395000.0,359092000.0,320948000.0,350021000.0,274771000.0
Total Assets,26751302000.0,25440410000.0,23843073000.0,22625469000.0,21691690000.0
Total Non Current Assets,5668533000.0,5700076000.0,6063773000.0,5767801000.0,6137495000.0
Other Non Current Assets,250332000.0,242941000.0,194780000.0,34645000.0,146022000.0
Non Current Prepaid Assets,,,,104809000.0,
Non Current Deferred Assets,606589000.0,601921000.0,513325000.0,537874000.0,481358000.0
Non Current Deferred Taxes Assets,606589000.0,601921000.0,513325000.0,517383000.0,481358000.0
