,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,,0.0,508090.434978,2364973.259386,-15081289.403634,0.0
Tax Rate For Calcs,,0.299928,0.252279,0.249839,0.267081,0.367524
Normalized EBITDA,,475946000.0,577978000.0,545227000.0,399721000.0,202415000.0
Total Unusual Items,,,2014000.0,9466000.0,-56467000.0,
Total Unusual Items Excluding Goodwill,,,2014000.0,9466000.0,-56467000.0,
Net Income From Continuing Operation Net Minority Interest,,374988000.0,405972000.0,403050000.0,237308000.0,153324000.0
Reconciled Cost Of Revenue,,3386670000.0,2849667000.0,2604907000.0,2744976000.0,2467172000.0
EBITDA,,475946000.0,579992000.0,554693000.0,343254000.0,202415000.0
EBIT,,475946000.0,579992000.0,554693000.0,343254000.0,202415000.0
Net Interest Income,,,81285000.0,79742000.0,84689000.0,
Interest Expense,,,8974000.0,9081000.0,9281000.0,
Interest Income,,,90259000.0,88823000.0,93970000.0,
Normalized Income,,374988000.0,404466090.434978,395948973.259386,278693710.596366,153324000.0
Net Income From Continuing And Discontinued Operation,,374988000.0,405972000.0,403050000.0,237308000.0,153324000.0
Total Expenses,,5510078000.0,4771758000.0,4384696000.0,4644685000.0,4125818000.0
Total Operating Income As Reported,,475946000.0,487719000.0,456404000.0,305751000.0,202415000.0
Diluted Average Shares,639526914.0,635572881.0,,634637711.0,610136776.0,638850000.0
Basic Average Shares,602240123.0,595219048.0,,590286824.0,580046457.0,589707692.0
Diluted EPS,0.63,0.59,,0.65,0.39,0.24
Basic EPS,0.66,0.63,,0.68,0.41,0.26
Diluted NI Availto Com Stockholders,,374988000.0,405972000.0,403050000.0,237308000.0,153324000.0
Net Income Common Stockholders,,374988000.0,405972000.0,403050000.0,237308000.0,153324000.0
Net Income,,374988000.0,405972000.0,403050000.0,237308000.0,153324000.0
Minority Interests,,,-8232000.0,-7775000.0,-284000.0,
Net Income Including Noncontrolling Interests,,374988000.0,414204000.0,410825000.0,237592000.0,153324000.0
Net Income Continuous Operations,,374988000.0,414204000.0,410825000.0,237592000.0,153324000.0
Earnings From Equity Interest Net Of Tax,,-1032000.0,-12758000.0,1528000.0,-7183000.0,-6029000.0
Tax Provision,,161096000.0,144056000.0,136315000.0,89198000.0,92598000.0
Pretax Income,,537116000.0,571018000.0,545612000.0,333973000.0,251951000.0
Other Income Expense,,61170000.0,2014000.0,9466000.0,-56467000.0,49536000.0
Other Non Operating Income Expenses,,61170000.0,,,,49536000.0
Special Income Charges,,,5086000.0,10602000.0,8206000.0,
Other Special Charges,,,-5086000.0,-10602000.0,-8206000.0,
Impairment Of Capital Assets,,,,,0.0,
Gain On Sale Of Security,,,-3072000.0,-1136000.0,-64673000.0,
Net Non Operating Interest Income Expense,,,81285000.0,79742000.0,84689000.0,
Interest Expense Non Operating,,,8974000.0,9081000.0,9281000.0,
Interest Income Non Operating,,,90259000.0,88823000.0,93970000.0,
Operating Income,,475946000.0,487719000.0,456404000.0,305751000.0,202415000.0
Operating Expense,,2123408000.0,1922091000.0,1779789000.0,1899709000.0,1658646000.0
Other Operating Expenses,,-27018000.0,-31903000.0,-34901000.0,-53256000.0,-40647000.0
Provision For Doubtful Accounts,,373825000.0,323729000.0,281944000.0,235764000.0,211991000.0
Research And Development,,286275000.0,297428000.0,295858000.0,301216000.0,301990000.0
Selling General And Administration,,1490326000.0,1332837000.0,1236888000.0,1415985000.0,1185312000.0
Selling And Marketing Expense,,1150299000.0,1009495000.0,929699000.0,1049726000.0,878557000.0
General And Administrative Expense,,340027000.0,323342000.0,307189000.0,366259000.0,306755000.0
Other Gand A,,340027000.0,323342000.0,307189000.0,366259000.0,306755000.0
Gross Profit,,2599354000.0,2409810000.0,2236193000.0,2205460000.0,1861061000.0
Cost Of Revenue,,3386670000.0,2849667000.0,2604907000.0,2744976000.0,2467172000.0
Total Revenue,,5986024000.0,5259477000.0,4841100000.0,4950436000.0,4328233000.0
Operating Revenue,,5986024000.0,5259477000.0,4841100000.0,4950436000.0,4328233000.0
