,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.227,0.18,0.21,0.185464,
Normalized EBITDA,3022000000.0,2325000000.0,1324000000.0,788000000.0,
Total Unusual Items,,,,,-3000000.0
Total Unusual Items Excluding Goodwill,,,,,-3000000.0
Net Income From Continuing Operation Net Minority Interest,1748000000.0,1425000000.0,1731000000.0,325000000.0,
Reconciled Depreciation,738000000.0,564000000.0,562000000.0,433000000.0,
Reconciled Cost Of Revenue,2983000000.0,2287000000.0,1921000000.0,1573000000.0,
EBITDA,3022000000.0,2325000000.0,1324000000.0,788000000.0,
EBIT,2284000000.0,1761000000.0,762000000.0,355000000.0,
Net Interest Income,428000000.0,396000000.0,302000000.0,82000000.0,
Interest Expense,23000000.0,23000000.0,24000000.0,27000000.0,
Interest Income,451000000.0,419000000.0,302000000.0,82000000.0,
Normalized Income,1748000000.0,1425000000.0,1731000000.0,325000000.0,
Net Income From Continuing And Discontinued Operation,1748000000.0,1425000000.0,1731000000.0,325000000.0,
Total Expenses,11454000000.0,9620000000.0,8209000000.0,6890000000.0,
Total Operating Income As Reported,1824000000.0,1364000000.0,762000000.0,355000000.0,
Diluted Average Shares,1047000000.0,1040000000.0,1030000000.0,1020000000.0,
Basic Average Shares,1037000000.0,1030000000.0,1020000000.0,1005000000.0,
Diluted EPS,1.67,1.368,1.684,0.32,
Basic EPS,1.69,1.384,1.696,0.322,
Diluted NI Availto Com Stockholders,1748000000.0,1425000000.0,1731000000.0,325000000.0,
Net Income Common Stockholders,1748000000.0,1425000000.0,1731000000.0,325000000.0,
Net Income,1748000000.0,1425000000.0,1731000000.0,325000000.0,
Net Income Including Noncontrolling Interests,1748000000.0,1425000000.0,1731000000.0,325000000.0,
Net Income Continuous Operations,1748000000.0,1425000000.0,1731000000.0,325000000.0,
Tax Provision,513000000.0,313000000.0,-723000000.0,74000000.0,
Pretax Income,2261000000.0,1738000000.0,1008000000.0,399000000.0,
Other Income Expense,9000000.0,-22000000.0,-56000000.0,-38000000.0,
Other Non Operating Income Expenses,9000000.0,-22000000.0,-56000000.0,-38000000.0,
Special Income Charges,,,,,-3000000.0
Other Special Charges,,,,,3000000.0
Net Non Operating Interest Income Expense,428000000.0,396000000.0,302000000.0,82000000.0,
Interest Expense Non Operating,23000000.0,23000000.0,24000000.0,27000000.0,
Interest Income Non Operating,451000000.0,419000000.0,302000000.0,82000000.0,
Operating Income,1824000000.0,1364000000.0,762000000.0,355000000.0,
Operating Expense,8471000000.0,7333000000.0,6288000000.0,5317000000.0,
Research And Development,2960000000.0,2543000000.0,2124000000.0,1768000000.0,
Selling General And Administration,5511000000.0,4790000000.0,4164000000.0,3549000000.0,
Selling And Marketing Expense,4388000000.0,3854000000.0,3301000000.0,2814000000.0,
General And Administrative Expense,1123000000.0,936000000.0,863000000.0,735000000.0,
Other Gand A,1123000000.0,936000000.0,863000000.0,735000000.0,
Gross Profit,10295000000.0,8697000000.0,7050000000.0,5672000000.0,
Cost Of Revenue,2983000000.0,2287000000.0,1921000000.0,1573000000.0,
Total Revenue,13278000000.0,10984000000.0,8971000000.0,7245000000.0,
Operating Revenue,13278000000.0,10984000000.0,8971000000.0,7245000000.0,
