,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.25878,0.28,0.18,0.17,0.170626
Normalized EBITDA,758000000.0,894000000.0,649000000.0,721000000.0,622000000.0
Net Income From Continuing Operation Net Minority Interest,401000000.0,502000000.0,385000000.0,460000000.0,384000000.0
Reconciled Depreciation,212000000.0,194000000.0,172000000.0,160000000.0,154000000.0
Reconciled Cost Of Revenue,834000000.0,774000000.0,724000000.0,651000000.0,631000000.0
EBITDA,758000000.0,894000000.0,649000000.0,721000000.0,622000000.0
EBIT,546000000.0,700000000.0,477000000.0,561000000.0,468000000.0
Net Interest Income,100000000.0,109000000.0,110000000.0,109000000.0,101000000.0
Interest Expense,5000000.0,6000000.0,6000000.0,6000000.0,5000000.0
Interest Income,105000000.0,115000000.0,116000000.0,115000000.0,106000000.0
Normalized Income,401000000.0,502000000.0,385000000.0,460000000.0,384000000.0
Net Income From Continuing And Discontinued Operation,401000000.0,502000000.0,385000000.0,460000000.0,384000000.0
Total Expenses,3125000000.0,2835000000.0,2857000000.0,2637000000.0,2583000000.0
Total Operating Income As Reported,443000000.0,572000000.0,358000000.0,451000000.0,374000000.0
Diluted Average Shares,1047000000.0,1050000000.0,1045000000.0,1045000000.0,1045000000.0
Basic Average Shares,1039000000.0,1040000000.0,1035000000.0,1035000000.0,1030000000.0
Diluted EPS,0.38,0.48,0.368,0.44,0.366
Basic EPS,0.39,0.484,0.372,0.444,0.372
Diluted NI Availto Com Stockholders,401000000.0,502000000.0,385000000.0,460000000.0,384000000.0
Net Income Common Stockholders,401000000.0,502000000.0,385000000.0,460000000.0,384000000.0
Net Income,401000000.0,502000000.0,385000000.0,460000000.0,384000000.0
Net Income Including Noncontrolling Interests,401000000.0,502000000.0,385000000.0,460000000.0,384000000.0
Net Income Continuous Operations,401000000.0,502000000.0,385000000.0,460000000.0,384000000.0
Tax Provision,140000000.0,192000000.0,86000000.0,95000000.0,79000000.0
Pretax Income,541000000.0,694000000.0,471000000.0,555000000.0,463000000.0
Other Income Expense,-2000000.0,13000000.0,3000000.0,-5000000.0,-12000000.0
Other Non Operating Income Expenses,-2000000.0,13000000.0,3000000.0,-5000000.0,-12000000.0
Net Non Operating Interest Income Expense,100000000.0,109000000.0,110000000.0,109000000.0,101000000.0
Interest Expense Non Operating,5000000.0,6000000.0,6000000.0,6000000.0,5000000.0
Interest Income Non Operating,105000000.0,115000000.0,116000000.0,115000000.0,106000000.0
Operating Income,443000000.0,572000000.0,358000000.0,451000000.0,374000000.0
Operating Expense,2291000000.0,2061000000.0,2133000000.0,1986000000.0,1952000000.0
Research And Development,773000000.0,750000000.0,734000000.0,703000000.0,668000000.0
Selling General And Administration,1518000000.0,1311000000.0,1399000000.0,1283000000.0,1284000000.0
Selling And Marketing Expense,1150000000.0,1056000000.0,1128000000.0,1054000000.0,1027000000.0
General And Administrative Expense,368000000.0,255000000.0,271000000.0,229000000.0,257000000.0
Other Gand A,368000000.0,255000000.0,271000000.0,229000000.0,257000000.0
Gross Profit,2734000000.0,2633000000.0,2491000000.0,2437000000.0,2326000000.0
Cost Of Revenue,834000000.0,774000000.0,724000000.0,651000000.0,631000000.0
Total Revenue,3568000000.0,3407000000.0,3215000000.0,3088000000.0,2957000000.0
Operating Revenue,3568000000.0,3407000000.0,3215000000.0,3088000000.0,2957000000.0
