,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,437189000.0,218654000.0,34794000.0,55308000.0,
Repurchase Of Capital Stock,-750866000.0,-311069000.0,-189394000.0,-1001052000.0,
Repayment Of Debt,-2030790000.0,-859042000.0,0.0,0.0,
Issuance Of Debt,2014193000.0,740350000.0,0.0,1483500000.0,
Capital Expenditure,-218981000.0,-194826000.0,-211727000.0,-129306000.0,
Interest Paid Supplemental Data,65060000.0,10284000.0,10244000.0,8873000.0,
Income Tax Paid Supplemental Data,26716000.0,24686000.0,30924000.0,12087000.0,
End Cash Position,1031397000.0,1050234000.0,1782462000.0,1423776000.0,
Beginning Cash Position,1050234000.0,1782462000.0,1423776000.0,1994723000.0,
Changes In Cash,-18837000.0,-732228000.0,358686000.0,-570947000.0,
Financing Cash Flow,-848125000.0,-428624000.0,-458789000.0,306714000.0,
Cash Flow From Continuing Financing Activities,-848125000.0,-428624000.0,-458789000.0,306714000.0,
Net Other Financing Charges,-81036000.0,-11661000.0,-270433000.0,-180006000.0,
Proceeds From Stock Option Exercised,374000.0,12798000.0,1038000.0,4272000.0,
Net Common Stock Issuance,-750866000.0,-311069000.0,-189394000.0,-1001052000.0,
Common Stock Payments,-750866000.0,-311069000.0,-189394000.0,-1001052000.0,
Net Issuance Payments Of Debt,-16597000.0,-118692000.0,0.0,1483500000.0,
Net Long Term Debt Issuance,-16597000.0,-118692000.0,0.0,1483500000.0,
Long Term Debt Payments,-2030790000.0,-859042000.0,0.0,0.0,
Long Term Debt Issuance,2014193000.0,740350000.0,0.0,1483500000.0,
Investing Cash Flow,173118000.0,-717084000.0,570954000.0,-1062275000.0,
Cash Flow From Continuing Investing Activities,173118000.0,-717084000.0,570954000.0,-1062275000.0,
Net Other Investing Changes,-3581000.0,-100000.0,-2779000.0,-18125000.0,
Net Investment Purchase And Sale,431179000.0,-522158000.0,835714000.0,-847777000.0,
Sale Of Investment,1729475000.0,1767510000.0,2891757000.0,2664207000.0,
Purchase Of Investment,-1298296000.0,-2289668000.0,-2056043000.0,-3511984000.0,
Net Business Purchase And Sale,-35499000.0,0.0,-50254000.0,-67067000.0,
Sale Of Business,,,,,0.0
Purchase Of Business,-35499000.0,0.0,-50254000.0,-67067000.0,
Net PPE Purchase And Sale,-218981000.0,-194826000.0,-211727000.0,-129306000.0,
Purchase Of PPE,-218981000.0,-194826000.0,-211727000.0,-129306000.0,
Operating Cash Flow,656170000.0,413480000.0,246521000.0,184614000.0,
Cash Flow From Continuing Operating Activities,656170000.0,413480000.0,246521000.0,184614000.0,
Change In Working Capital,-17004000.0,-91456000.0,63131000.0,-34992000.0,
Change In Other Current Liabilities,-42084000.0,-54745000.0,-58852000.0,-63430000.0,
Change In Other Current Assets,64919000.0,44175000.0,72912000.0,70937000.0,
Change In Payables And Accrued Expense,58732000.0,49663000.0,157118000.0,118198000.0,
Change In Accrued Expense,12814000.0,150391000.0,62130000.0,71706000.0,
Change In Payable,45918000.0,-100728000.0,94988000.0,46492000.0,
Change In Account Payable,45918000.0,-100728000.0,94988000.0,46492000.0,
Change In Prepaid Assets,-66744000.0,-36544000.0,-9920000.0,-40917000.0,
Change In Receivables,-31827000.0,-94005000.0,-98127000.0,-119780000.0,
Changes In Account Receivables,-31827000.0,-94005000.0,-98127000.0,-119780000.0,
Other Non Cash Items,32999000.0,-11437000.0,-19597000.0,22461000.0,
Stock Based Compensation,1016825000.0,1041023000.0,1324004000.0,1387787000.0,
Depreciation Amortization Depletion,163633000.0,158074000.0,168441000.0,202173000.0,
Depreciation And Amortization,163633000.0,158074000.0,168441000.0,202173000.0,
Operating Gains Losses,-79794000.0,15132000.0,33027000.0,36838000.0,
Gain Loss On Investment Securities,16940000.0,8460000.0,33027000.0,36838000.0,
Gain Loss On Sale Of Business,,,,,0.0
Net Income From Continuing Operations,-460489000.0,-697856000.0,-1322485000.0,-1429653000.0,
