,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.21,0.21,0.21
Normalized EBITDA,-165505000.0,-492600000.0,-1103958000.0,-1177065000.0
Net Income From Continuing Operation Net Minority Interest,-460489000.0,-697856000.0,-1322485000.0,-1429653000.0
Reconciled Depreciation,163633000.0,158074000.0,168441000.0,202173000.0
Reconciled Cost Of Revenue,2669575000.0,2474237000.0,2114117000.0,1815342000.0
EBITDA,-165505000.0,-492600000.0,-1103958000.0,-1177065000.0
EBIT,-329138000.0,-650674000.0,-1272399000.0,-1379238000.0
Net Interest Income,12161000.0,131914000.0,146370000.0,37138000.0
Interest Expense,121998000.0,21552000.0,22024000.0,21459000.0
Interest Income,134159000.0,153466000.0,168394000.0,58597000.0
Normalized Income,-460489000.0,-697856000.0,-1322485000.0,-1429653000.0
Net Income From Continuing And Discontinued Operation,-460489000.0,-697856000.0,-1322485000.0,-1429653000.0
Total Expenses,6463614000.0,6148692000.0,6004494000.0,5997153000.0
Total Operating Income As Reported,-532167000.0,-787294000.0,-1398379000.0,-1395306000.0
Diluted Average Shares,1694598000.0,1659147000.0,1612504000.0,1608304000.0
Basic Average Shares,1694598000.0,1659147000.0,1612504000.0,1608304000.0
Diluted EPS,-0.27,-0.42,-0.82,-0.89
Basic EPS,-0.27,-0.42,-0.82,-0.89
Diluted NI Availto Com Stockholders,-460489000.0,-697856000.0,-1322485000.0,-1429653000.0
Net Income Common Stockholders,-460489000.0,-697856000.0,-1322485000.0,-1429653000.0
Net Income,-460489000.0,-697856000.0,-1322485000.0,-1429653000.0
Net Income Including Noncontrolling Interests,-460489000.0,-697856000.0,-1322485000.0,-1429653000.0
Net Income Continuous Operations,-460489000.0,-697856000.0,-1322485000.0,-1429653000.0
Tax Provision,9353000.0,25630000.0,28062000.0,28956000.0
Pretax Income,-451136000.0,-672226000.0,-1294423000.0,-1400697000.0
Other Income Expense,68870000.0,-16846000.0,-42414000.0,-42529000.0
Other Non Operating Income Expenses,68870000.0,-16846000.0,-42414000.0,-42529000.0
Net Non Operating Interest Income Expense,12161000.0,131914000.0,146370000.0,37138000.0
Interest Expense Non Operating,121998000.0,21552000.0,22024000.0,21459000.0
Interest Income Non Operating,134159000.0,153466000.0,168394000.0,58597000.0
Operating Income,-532167000.0,-787294000.0,-1398379000.0,-1395306000.0
Operating Expense,3794039000.0,3674455000.0,3890377000.0,4181811000.0
Research And Development,1793601000.0,1691683000.0,1910862000.0,2109800000.0
Selling General And Administration,2000438000.0,1982772000.0,1979515000.0,2072011000.0
Selling And Marketing Expense,1021305000.0,1063675000.0,1122092000.0,1118746000.0
General And Administrative Expense,979133000.0,919097000.0,857423000.0,953265000.0
Other Gand A,979133000.0,919097000.0,857423000.0,953265000.0
Gross Profit,3261872000.0,2887161000.0,2491998000.0,2786505000.0
Cost Of Revenue,2669575000.0,2474237000.0,2114117000.0,1815342000.0
Total Revenue,5931447000.0,5361398000.0,4606115000.0,4601847000.0
Operating Revenue,5931447000.0,5361398000.0,4606115000.0,4601847000.0
