,2026-01-31,2025-01-31,2024-01-31,2023-01-31,2022-01-31
Free Cash Flow,1117213000.0,884052000.0,750159000.0,495799000.0,
Repurchase Of Capital Stock,-873537000.0,-1932333000.0,-591732000.0,0.0,
Issuance Of Debt,0.0,2300000000.0,0.0,0.0,
Issuance Of Capital Stock,,,,0.0,0.0
Capital Expenditure,-104729000.0,-75712000.0,-97963000.0,-49840000.0,
Income Tax Paid Supplemental Data,,15675000.0,12452000.0,6550000.0,1482000.0
End Cash Position,2864303000.0,2698678000.0,1780977000.0,956731000.0,
Beginning Cash Position,2698678000.0,1780977000.0,956731000.0,1102534000.0,
Effect Of Exchange Rate Changes,16832000.0,-6186000.0,-2031000.0,-933000.0,
Changes In Cash,148793000.0,923887000.0,826277000.0,-144870000.0,
Financing Cash Flow,-1385390000.0,-226523000.0,-854103000.0,-92624000.0,
Cash Flow From Continuing Financing Activities,-1385390000.0,-226523000.0,-854103000.0,-92624000.0,
Net Other Financing Charges,-684106000.0,-716129000.0,-380799000.0,-173448000.0,
Proceeds From Stock Option Exercised,172253000.0,121939000.0,118428000.0,80824000.0,
Net Preferred Stock Issuance,,,,0.0,0.0
Preferred Stock Issuance,,,,0.0,0.0
Net Common Stock Issuance,-873537000.0,-1932333000.0,-591732000.0,0.0,
Common Stock Payments,-873537000.0,-1932333000.0,-591732000.0,0.0,
Common Stock Issuance,,,,0.0,0.0
Net Issuance Payments Of Debt,0.0,2300000000.0,0.0,0.0,
Net Long Term Debt Issuance,0.0,2300000000.0,0.0,0.0,
Long Term Debt Issuance,0.0,2300000000.0,0.0,0.0,
Investing Cash Flow,312241000.0,190646000.0,832258000.0,-597885000.0,
Cash Flow From Continuing Investing Activities,312241000.0,190646000.0,832258000.0,-597885000.0,
Net Other Investing Changes,,-749000.0,,,
Net Investment Purchase And Sale,595820000.0,297412000.0,1205927000.0,-185436000.0,
Sale Of Investment,2636240000.0,2866655000.0,3682133000.0,3715885000.0,
Purchase Of Investment,-2040420000.0,-2569243000.0,-2476206000.0,-3901321000.0,
Net Business Purchase And Sale,-178850000.0,-30305000.0,-275706000.0,-362609000.0,
Purchase Of Business,-178850000.0,-30305000.0,-275706000.0,-362609000.0,
Net Intangibles Purchase And Sale,-3101000.0,0.0,-28744000.0,-700000.0,
Purchase Of Intangibles,-3101000.0,0.0,-28744000.0,-700000.0,
Net PPE Purchase And Sale,-101628000.0,-46279000.0,-35086000.0,-25128000.0,
Purchase Of PPE,-101628000.0,-46279000.0,-35086000.0,-25128000.0,
Capital Expenditure Reported,0.0,-29433000.0,-34133000.0,-24012000.0,
Operating Cash Flow,1221942000.0,959764000.0,848122000.0,545639000.0,
Cash Flow From Continuing Operating Activities,1221942000.0,959764000.0,848122000.0,545639000.0,
Change In Working Capital,383760000.0,443589000.0,390716000.0,289526000.0,
Change In Other Working Capital,450156000.0,281186000.0,393242000.0,419194000.0,
Change In Other Current Liabilities,-26949000.0,-47711000.0,-40498000.0,-42342000.0,
Change In Payables And Accrued Expense,385038000.0,179728000.0,190260000.0,82543000.0,
Change In Accrued Expense,393337000.0,70876000.0,171048000.0,74519000.0,
Change In Payable,-8299000.0,108852000.0,19212000.0,8024000.0,
Change In Account Payable,-8299000.0,108852000.0,19212000.0,8024000.0,
Change In Prepaid Assets,-44516000.0,29850000.0,59795000.0,-2904000.0,
Change In Receivables,-379969000.0,536000.0,-212083000.0,-166965000.0,
Changes In Account Receivables,-379969000.0,536000.0,-212083000.0,-166965000.0,
Other Non Cash Items,202767000.0,163250000.0,142574000.0,105303000.0,
Stock Based Compensation,1599547000.0,1479314000.0,1168015000.0,861533000.0,
Unrealized Gain Loss On Investment Securities,,,,46435000.0,-27621000.0
Asset Impairment Charge,108715000.0,0.0,0.0,,
Amortization Of Securities,-21813000.0,-43434000.0,-61525000.0,3497000.0,
Deferred Tax,-2337000.0,-7671000.0,-26762000.0,-26664000.0,
Deferred Income Tax,-2337000.0,-7671000.0,-26762000.0,-26664000.0,
Depreciation Amortization Depletion,220443000.0,182508000.0,119903000.0,63535000.0,
Depreciation And Amortization,220443000.0,182508000.0,119903000.0,63535000.0,
Operating Gains Losses,59895000.0,31420000.0,-46809000.0,46435000.0,
Gain Loss On Investment Securities,59895000.0,31420000.0,-46809000.0,46435000.0,
Net Income From Continuing Operations,-1329035000.0,-1289212000.0,-837990000.0,-797526000.0,
