,2026-01-31,2025-01-31,2024-01-31,2023-01-31
Tax Effect Of Unusual Items,-23958000.0,-6598200.0,0.0,0.0
Tax Rate For Calcs,0.4,0.21,0.013227,0.023
Normalized EBITDA,-1023274000.0,-1068412000.0,-729320000.0,-752458000.0
Total Unusual Items,-59895000.0,-31420000.0,46809000.0,-46435000.0
Total Unusual Items Excluding Goodwill,-59895000.0,-31420000.0,46809000.0,-46435000.0
Net Income From Continuing Operation Net Minority Interest,-1331616000.0,-1285640000.0,-836097000.0,-796705000.0
Reconciled Depreciation,220443000.0,182508000.0,119903000.0,63535000.0
Reconciled Cost Of Revenue,1537805000.0,1214673000.0,898558000.0,717540000.0
EBITDA,-1083169000.0,-1099832000.0,-729320000.0,-752458000.0
EBIT,-1303612000.0,-1282340000.0,-849223000.0,-815993000.0
Net Interest Income,182258000.0,206250000.0,200663000.0,73839000.0
Interest Expense,8298000.0,2759000.0,0.0,0.0
Interest Income,190556000.0,209009000.0,200663000.0,73839000.0
Normalized Income,-1295679000.0,-1260818200.0,-836097000.0,-796705000.0
Net Income From Continuing And Discontinued Operation,-1331616000.0,-1285640000.0,-836097000.0,-796705000.0
Total Expenses,6119111000.0,5082406000.0,3901262000.0,2907926000.0
Total Operating Income As Reported,-1435165000.0,-1456010000.0,-1094773000.0,-842267000.0
Diluted Average Shares,337493000.0,332707000.0,328001000.0,318730000.0
Basic Average Shares,337493000.0,332707000.0,328001000.0,318730000.0
Diluted EPS,-3.95,-3.86,-2.55,-2.5
Basic EPS,-3.95,-3.86,-2.55,-2.5
Diluted NI Availto Com Stockholders,-1331616000.0,-1285640000.0,-836097000.0,-796705000.0
Net Income Common Stockholders,-1331616000.0,-1285640000.0,-836097000.0,-796705000.0
Net Income,-1331616000.0,-1285640000.0,-836097000.0,-796705000.0
Minority Interests,-2581000.0,3572000.0,1893000.0,821000.0
Net Income Including Noncontrolling Interests,-1329035000.0,-1289212000.0,-837990000.0,-797526000.0
Net Income Continuous Operations,-1329035000.0,-1289212000.0,-837990000.0,-797526000.0
Tax Provision,17125000.0,4113000.0,-11233000.0,-18467000.0
Pretax Income,-1311910000.0,-1285099000.0,-849223000.0,-815993000.0
Other Income Expense,-59003000.0,-35339000.0,44887000.0,-47565000.0
Other Non Operating Income Expenses,892000.0,-3919000.0,44887000.0,-47565000.0
Special Income Charges,-53852000.0,-11578000.0,-3101000.0,-38036000.0
Write Off,53852000.0,11578000.0,3101000.0,38036000.0
Gain On Sale Of Security,-6043000.0,-19842000.0,49910000.0,-8399000.0
Net Non Operating Interest Income Expense,182258000.0,206250000.0,200663000.0,73839000.0
Interest Expense Non Operating,8298000.0,2759000.0,0.0,0.0
Interest Income Non Operating,190556000.0,209009000.0,200663000.0,73839000.0
Operating Income,-1435165000.0,-1456010000.0,-1094773000.0,-842267000.0
Operating Expense,4581306000.0,3867733000.0,3002704000.0,2190386000.0
Research And Development,1969472000.0,1783379000.0,1287949000.0,788058000.0
Selling General And Administration,2611834000.0,2084354000.0,1714755000.0,1402328000.0
Selling And Marketing Expense,2062137000.0,1672092000.0,1391747000.0,1106507000.0
General And Administrative Expense,549697000.0,412262000.0,323008000.0,295821000.0
Other Gand A,549697000.0,412262000.0,323008000.0,295821000.0
Gross Profit,3146141000.0,2411723000.0,1907931000.0,1348119000.0
Cost Of Revenue,1537805000.0,1214673000.0,898558000.0,717540000.0
Total Revenue,4683946000.0,3626396000.0,2806489000.0,2065659000.0
Operating Revenue,4683946000.0,3626396000.0,2806489000.0,2065659000.0
