,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,2872000000.0,2284000000.0,674000000.0,21000000.0,
Repurchase Of Capital Stock,-439000000.0,0.0,0.0,-2000000.0,
Repayment Of Debt,-73000000.0,-69000000.0,-66000000.0,-43000000.0,
Issuance Of Debt,0.0,0.0,2000000.0,2000000.0,
Capital Expenditure,-61000000.0,-17000000.0,-6000000.0,-25000000.0,
End Cash Position,5258000000.0,4781000000.0,3114000000.0,2483000000.0,
Beginning Cash Position,4781000000.0,3114000000.0,2483000000.0,2744000000.0,
Effect Of Exchange Rate Changes,-290000000.0,123000000.0,-66000000.0,156000000.0,
Changes In Cash,767000000.0,1544000000.0,697000000.0,-417000000.0,
Financing Cash Flow,-381000000.0,729000000.0,234000000.0,-40000000.0,
Cash Flow From Continuing Financing Activities,-381000000.0,729000000.0,234000000.0,-40000000.0,
Net Other Financing Charges,-241000000.0,-135000000.0,-68000000.0,-40000000.0,
Proceeds From Stock Option Exercised,372000000.0,933000000.0,366000000.0,43000000.0,
Net Common Stock Issuance,-439000000.0,0.0,0.0,-2000000.0,
Common Stock Payments,-439000000.0,0.0,0.0,-2000000.0,
Net Issuance Payments Of Debt,-73000000.0,-69000000.0,-64000000.0,-41000000.0,
Net Long Term Debt Issuance,-73000000.0,-69000000.0,-64000000.0,-41000000.0,
Long Term Debt Payments,-73000000.0,-69000000.0,-66000000.0,-43000000.0,
Long Term Debt Issuance,0.0,0.0,2000000.0,2000000.0,
Investing Cash Flow,-1785000000.0,-1486000000.0,-217000000.0,-423000000.0,
Cash Flow From Continuing Investing Activities,-1785000000.0,-1486000000.0,-217000000.0,-423000000.0,
Net Other Investing Changes,-3000000.0,-7000000.0,7000000.0,-3000000.0,
Dividends Received Cfi,23000000.0,19000000.0,0.0,0.0,
Net Investment Purchase And Sale,-1726000000.0,-1471000000.0,-211000000.0,-89000000.0,
Sale Of Investment,17545000000.0,5804000000.0,1379000000.0,368000000.0,
Purchase Of Investment,-19271000000.0,-7275000000.0,-1590000000.0,-457000000.0,
Net Business Purchase And Sale,-18000000.0,-10000000.0,-7000000.0,-306000000.0,
Purchase Of Business,-18000000.0,-10000000.0,-7000000.0,-306000000.0,
Net PPE Purchase And Sale,-61000000.0,-17000000.0,-6000000.0,-25000000.0,
Purchase Of PPE,-61000000.0,-17000000.0,-6000000.0,-25000000.0,
Operating Cash Flow,2933000000.0,2301000000.0,680000000.0,46000000.0,
Cash Flow From Continuing Operating Activities,2933000000.0,2301000000.0,680000000.0,46000000.0,
Taxes Refund Paid,-86000000.0,-53000000.0,-43000000.0,-43000000.0,
Interest Received Cfo,242000000.0,216000000.0,111000000.0,37000000.0,
Interest Paid Cfo,-36000000.0,-36000000.0,-38000000.0,-53000000.0,
Change In Working Capital,248000000.0,376000000.0,464000000.0,191000000.0,
Change In Other Working Capital,82000000.0,48000000.0,108000000.0,49000000.0,
Change In Payables And Accrued Expense,281000000.0,183000000.0,501000000.0,226000000.0,
Change In Payable,281000000.0,183000000.0,501000000.0,226000000.0,
Change In Account Payable,281000000.0,183000000.0,501000000.0,226000000.0,
Change In Receivables,-115000000.0,145000000.0,-145000000.0,-84000000.0,
Changes In Account Receivables,-115000000.0,145000000.0,-145000000.0,-84000000.0,
Other Non Cash Items,-93000000.0,42000000.0,6000000.0,-139000000.0,
Stock Based Compensation,247000000.0,267000000.0,321000000.0,381000000.0,
Provisionand Write Offof Assets,,0.0,0.0,14000000.0,0.0
Asset Impairment Charge,8000000.0,43000000.0,152000000.0,0.0,
Deferred Tax,12000000.0,203000000.0,27000000.0,60000000.0,
Deferred Income Tax,12000000.0,203000000.0,27000000.0,60000000.0,
Depreciation Amortization Depletion,102000000.0,121000000.0,158000000.0,171000000.0,
Depreciation And Amortization,102000000.0,121000000.0,158000000.0,171000000.0,
Amortization Cash Flow,23000000.0,36000000.0,48000000.0,53000000.0,
Amortization Of Intangibles,23000000.0,36000000.0,48000000.0,53000000.0,
Depreciation,79000000.0,85000000.0,110000000.0,118000000.0,
Operating Gains Losses,77000000.0,-16000000.0,54000000.0,-143000000.0,
Gain Loss On Investment Securities,-23000000.0,14000000.0,2000000.0,-71000000.0,
Net Foreign Currency Exchange Gain Loss,100000000.0,-30000000.0,52000000.0,-72000000.0,
Net Income From Continuing Operations,2212000000.0,1138000000.0,-532000000.0,-430000000.0,
