,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-1079136.690647,-33757643.54959,-31920000.0,60270000.0,
Tax Rate For Calcs,0.005396,0.15138,0.21,0.21,
Normalized EBITDA,2557000000.0,1721000000.0,-157000000.0,-445000000.0,
Total Unusual Items,-200000000.0,-223000000.0,-152000000.0,287000000.0,
Total Unusual Items Excluding Goodwill,-200000000.0,-223000000.0,-152000000.0,287000000.0,
Net Income From Continuing Operation Net Minority Interest,2212000000.0,1138000000.0,-532000000.0,-430000000.0,
Reconciled Depreciation,102000000.0,121000000.0,158000000.0,171000000.0,
Reconciled Cost Of Revenue,11690000000.0,10949000000.0,9850000000.0,8801000000.0,
EBITDA,2357000000.0,1498000000.0,-309000000.0,-158000000.0,
EBIT,2255000000.0,1377000000.0,-467000000.0,-329000000.0,
Net Interest Income,226000000.0,199000000.0,93000000.0,2000000.0,
Interest Expense,31000000.0,36000000.0,38000000.0,41000000.0,
Interest Income,245000000.0,223000000.0,131000000.0,47000000.0,
Normalized Income,2410920863.309353,1327242356.45041,-411920000.0,-656730000.0,
Net Income From Continuing And Discontinued Operation,2212000000.0,1138000000.0,-532000000.0,-430000000.0,
Total Expenses,14988000000.0,14308000000.0,13693000000.0,12386000000.0,
Total Operating Income As Reported,2198000000.0,1365000000.0,-446000000.0,-659000000.0,
Diluted Average Shares,210509173.0,206990369.0,194732304.0,195846362.0,
Basic Average Shares,205412951.0,200622518.0,194732304.0,192934862.0,
Diluted EPS,10.51,5.5,-2.73,-2.93,
Basic EPS,10.77,5.67,-2.73,-2.23,
Diluted NI Availto Com Stockholders,2212000000.0,1138000000.0,-532000000.0,-574000000.0,
Average Dilution Earnings,,0.0,0.0,-144000000.0,-165000000.0
Net Income Common Stockholders,2212000000.0,1138000000.0,-532000000.0,-430000000.0,
Net Income,2212000000.0,1138000000.0,-532000000.0,-430000000.0,
Net Income Including Noncontrolling Interests,2212000000.0,1138000000.0,-532000000.0,-430000000.0,
Net Income Continuous Operations,2212000000.0,1138000000.0,-532000000.0,-430000000.0,
Tax Provision,12000000.0,203000000.0,27000000.0,60000000.0,
Pretax Income,2224000000.0,1341000000.0,-505000000.0,-370000000.0,
Other Income Expense,-200000000.0,-223000000.0,-152000000.0,287000000.0,
Other Non Operating Income Expenses,,,,144000000.0,112000000.0
Gain On Sale Of Security,-200000000.0,-223000000.0,-152000000.0,287000000.0,
Net Non Operating Interest Income Expense,226000000.0,199000000.0,93000000.0,2000000.0,
Total Other Finance Cost,-12000000.0,-12000000.0,-11000000.0,4000000.0,
Interest Expense Non Operating,31000000.0,36000000.0,38000000.0,41000000.0,
Interest Income Non Operating,245000000.0,223000000.0,131000000.0,47000000.0,
Operating Income,2198000000.0,1365000000.0,-446000000.0,-659000000.0,
Operating Expense,3298000000.0,3359000000.0,3843000000.0,3585000000.0,
Research And Development,1393000000.0,1486000000.0,1725000000.0,1387000000.0,
Selling General And Administration,1905000000.0,1873000000.0,2118000000.0,2198000000.0,
Selling And Marketing Expense,1426000000.0,1392000000.0,1533000000.0,1572000000.0,
General And Administrative Expense,479000000.0,481000000.0,585000000.0,626000000.0,
Other Gand A,479000000.0,481000000.0,585000000.0,626000000.0,
Gross Profit,5496000000.0,4724000000.0,3397000000.0,2926000000.0,
Cost Of Revenue,11690000000.0,10949000000.0,9850000000.0,8801000000.0,
Total Revenue,17186000000.0,15673000000.0,13247000000.0,11727000000.0,
Operating Revenue,17186000000.0,15673000000.0,13247000000.0,11727000000.0,
