,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-11043600.0,-521619000.0,-12343741.125476,-214200.0
Tax Rate For Calcs,0.003,0.21,0.15948,0.102
Normalized EBITDA,701400000.0,683300000.0,659900000.0,749100000.0
Total Unusual Items,-3681200000.0,-2483900000.0,-77400000.0,-2100000.0
Total Unusual Items Excluding Goodwill,-3681200000.0,-2483900000.0,-77400000.0,-2100000.0
Net Income From Continuing Operation Net Minority Interest,-4478900000.0,-3744200000.0,-1124700000.0,418000000.0
Reconciled Depreciation,1342200000.0,1761600000.0,1776700000.0,257100000.0
Reconciled Cost Of Revenue,1458600000.0,1517400000.0,1410200000.0,1339400000.0
EBITDA,-2979800000.0,-1800600000.0,582500000.0,747000000.0
EBIT,-4322000000.0,-3562200000.0,-1194200000.0,489900000.0
Net Interest Income,-70700000.0,-75000000.0,-110100000.0,-6900000.0
Interest Expense,169300000.0,140600000.0,143900000.0,24500000.0
Interest Income,98600000.0,65600000.0,33800000.0,17600000.0
Normalized Income,-808743600.0,-1781919000.0,-1059643741.125476,419885800.0
Net Income From Continuing And Discontinued Operation,-4478900000.0,-3744200000.0,-1124700000.0,418000000.0
Total Expenses,6373000000.0,6493500000.0,6500500000.0,3030400000.0
Total Operating Income As Reported,-4391100000.0,-3590600000.0,-1165200000.0,473600000.0
Diluted Average Shares,175100000.0,170100000.0,159900000.0,116775000.0
Basic Average Shares,175100000.0,170100000.0,159900000.0,115485000.0
Diluted EPS,-25.58,-22.01,-7.03,3.58
Basic EPS,-25.58,-22.01,-7.03,3.62
Diluted NI Availto Com Stockholders,-4478900000.0,-3744200000.0,-1124700000.0,418000000.0
Net Income Common Stockholders,-4478900000.0,-3744200000.0,-1124700000.0,418000000.0
Net Income,-4478900000.0,-3744200000.0,-1124700000.0,418000000.0
Net Income Including Noncontrolling Interests,-4478900000.0,-3744200000.0,-1124700000.0,418000000.0
Net Income Continuous Operations,-4478900000.0,-3744200000.0,-1124700000.0,418000000.0
Tax Provision,-12400000.0,41400000.0,-213400000.0,47400000.0
Pretax Income,-4491300000.0,-3702800000.0,-1338100000.0,465400000.0
Other Income Expense,-3681200000.0,-2483900000.0,-77400000.0,-2100000.0
Other Non Operating Income Expenses,,,,-5917000.0
Special Income Charges,-3651700000.0,-2446700000.0,-14600000.0,-800000.0
Impairment Of Capital Assets,3545200000.0,2342100000.0,0.0,0.0
Restructuring And Mergern Acquisition,106500000.0,104600000.0,14600000.0,800000.0
Gain On Sale Of Security,-29500000.0,-37200000.0,-62800000.0,-1300000.0
Net Non Operating Interest Income Expense,-70700000.0,-75000000.0,-110100000.0,-6900000.0
Interest Expense Non Operating,169300000.0,140600000.0,143900000.0,24500000.0
Interest Income Non Operating,98600000.0,65600000.0,33800000.0,17600000.0
Operating Income,-739400000.0,-1143900000.0,-1150600000.0,474400000.0
Operating Expense,3801600000.0,3385700000.0,3435900000.0,1495000000.0
Depreciation Amortization Depletion Income Statement,229400000.0,171200000.0,122300000.0,61100000.0
Depreciation And Amortization In Income Statement,229400000.0,171200000.0,122300000.0,61100000.0
Research And Development,1005200000.0,948200000.0,887600000.0,406600000.0
Selling General And Administration,2567000000.0,2266300000.0,2426000000.0,1027300000.0
Selling And Marketing Expense,1683700000.0,1550200000.0,1586500000.0,516400000.0
General And Administrative Expense,883300000.0,716100000.0,839500000.0,510900000.0
Other Gand A,883300000.0,716100000.0,839500000.0,510900000.0
Gross Profit,3062200000.0,2241800000.0,2285300000.0,1969400000.0
Cost Of Revenue,2571400000.0,3107800000.0,3064600000.0,1535400000.0
Total Revenue,5633600000.0,5349600000.0,5349900000.0,3504800000.0
Operating Revenue,5633600000.0,5349600000.0,5349900000.0,3504800000.0
