,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,15973760.0,52906495.0,,
Ordinary Shares Number,3081835248.0,3379247766.0,3432154262.0,3390154264.0
Share Issued,3097809008.0,3432154261.0,3432154262.0,3390154264.0
Total Debt,6051000000.0,6048000000.0,5965000000.0,5359000000.0
Tangible Book Value,43803000000.0,31896000000.0,23758000000.0,26872000000.0
Invested Capital,73589000000.0,61543000000.0,53635000000.0,55379000000.0
Working Capital,17994000000.0,17922000000.0,14842000000.0,16341000000.0
Net Tangible Assets,43803000000.0,31896000000.0,23758000000.0,26872000000.0
Capital Lease Obligations,325000000.0,412000000.0,429000000.0,297000000.0
Common Stock Equity,67863000000.0,55907000000.0,48099000000.0,50317000000.0
Total Capitalization,71435000000.0,61543000000.0,53635000000.0,55379000000.0
Total Equity Gross Minority Interest,69726000000.0,57202000000.0,49127000000.0,51055000000.0
Minority Interest,1863000000.0,1295000000.0,1028000000.0,738000000.0
Stockholders Equity,67863000000.0,55907000000.0,48099000000.0,50317000000.0
Other Equity Interest,-520000000.0,-302000000.0,-202000000.0,-183000000.0
Gains Losses Not Affecting Retained Earnings,19845000000.0,9658000000.0,6140000000.0,3726000000.0
Other Equity Adjustments,19845000000.0,9658000000.0,6140000000.0,3726000000.0
Treasury Stock,550000000.0,6996000000.0,6349000000.0,3660000000.0
Retained Earnings,20051000000.0,16969000000.0,12052000000.0,14194000000.0
Additional Paid In Capital,29035000000.0,36576000000.0,36456000000.0,36238000000.0
Capital Stock,2000000.0,2000000.0,2000000.0,2000000.0
Common Stock,2000000.0,2000000.0,2000000.0,2000000.0
Total Liabilities Net Minority Interest,20718000000.0,18334000000.0,17882000000.0,16199000000.0
Total Non Current Liabilities Net Minority Interest,4168000000.0,6320000000.0,6165000000.0,5749000000.0
Tradeand Other Payables Non Current,,,0.0,93000000.0
Non Current Deferred Liabilities,377000000.0,387000000.0,323000000.0,389000000.0
Non Current Deferred Revenue,179000000.0,148000000.0,112000000.0,118000000.0
Non Current Deferred Taxes Liabilities,198000000.0,239000000.0,211000000.0,271000000.0
Long Term Debt And Capital Lease Obligation,3791000000.0,5933000000.0,5842000000.0,5267000000.0
Long Term Capital Lease Obligation,219000000.0,297000000.0,306000000.0,205000000.0
Long Term Debt,3572000000.0,5636000000.0,5536000000.0,5062000000.0
Current Liabilities,16550000000.0,12014000000.0,11717000000.0,10450000000.0
Current Deferred Liabilities,3435000000.0,3051000000.0,2309000000.0,1953000000.0
Current Deferred Revenue,3435000000.0,3051000000.0,2309000000.0,1953000000.0
Current Debt And Capital Lease Obligation,2260000000.0,115000000.0,123000000.0,92000000.0
Current Capital Lease Obligation,106000000.0,115000000.0,123000000.0,92000000.0
Current Debt,2154000000.0,,,
Other Current Borrowings,2154000000.0,,,
Payables And Accrued Expenses,10855000000.0,8848000000.0,9285000000.0,8405000000.0
Current Accrued Expenses,2299000000.0,2179000000.0,2825000000.0,3133000000.0
Payables,8556000000.0,6669000000.0,6460000000.0,5272000000.0
Other Payable,451000000.0,397000000.0,864000000.0,437000000.0
Dueto Related Parties Current,117000000.0,491000000.0,,
Dividends Payable,,,12000000.0,12000000.0
Total Tax Payable,1109000000.0,775000000.0,598000000.0,494000000.0
Accounts Payable,6879000000.0,5006000000.0,4998000000.0,4329000000.0
Total Assets,90444000000.0,75536000000.0,67009000000.0,67254000000.0
Total Non Current Assets,55900000000.0,45600000000.0,40450000000.0,40463000000.0
Other Non Current Assets,102000000.0,110000000.0,106000000.0,
Non Current Prepaid Assets,323000000.0,430000000.0,603000000.0,743000000.0
Non Current Deferred Assets,422000000.0,352000000.0,347000000.0,346000000.0
Non Current Deferred Taxes Assets,422000000.0,352000000.0,347000000.0,346000000.0
Investments And Advances,29895000000.0,19840000000.0,14332000000.0,15403000000.0
Other Investments,,307000000.0,304000000.0,199000000.0
Investmentin Financial Assets,25226000000.0,15566000000.0,9698000000.0,11605000000.0
Available For Sale Securities,24917000000.0,15259000000.0,9698000000.0,11605000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,309000000.0,307000000.0,,
Long Term Equity Investment,4669000000.0,4274000000.0,4330000000.0,3599000000.0
Goodwill And Other Intangible Assets,24060000000.0,24011000000.0,24341000000.0,23445000000.0
Other Intangible Assets,4413000000.0,4469000000.0,4848000000.0,4324000000.0
Goodwill,19647000000.0,19542000000.0,19493000000.0,19121000000.0
Net PPE,1098000000.0,857000000.0,721000000.0,526000000.0
Accumulated Depreciation,-371000000.0,-450000000.0,-424000000.0,-366000000.0
Gross PPE,1469000000.0,1307000000.0,1145000000.0,892000000.0
Leases,135000000.0,168000000.0,166000000.0,137000000.0
Construction In Progress,718000000.0,341000000.0,132000000.0,37000000.0
Other Properties,,,,1000000.0
Machinery Furniture Equipment,321000000.0,431000000.0,449000000.0,435000000.0
Buildings And Improvements,295000000.0,367000000.0,398000000.0,282000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,34544000000.0,29936000000.0,26559000000.0,26791000000.0
Other Current Assets,73000000.0,57000000.0,53000000.0,56000000.0
Restricted Cash,11000000.0,31000000.0,34000000.0,0.0
Prepaid Assets,2429000000.0,2387000000.0,2652000000.0,2488000000.0
Inventory,23000000.0,8000000.0,14000000.0,24000000.0
Receivables,4799000000.0,3912000000.0,2923000000.0,3797000000.0
Other Receivables,190000000.0,148000000.0,,
Duefrom Related Parties Current,48000000.0,54000000.0,72000000.0,51000000.0
Taxes Receivable,77000000.0,125000000.0,181000000.0,136000000.0
Accrued Interest Receivable,976000000.0,667000000.0,,
Accounts Receivable,3508000000.0,2918000000.0,2670000000.0,3610000000.0
Allowance For Doubtful Accounts Receivable,-22000000.0,-77000000.0,-61000000.0,-20000000.0
Gross Accounts Receivable,3530000000.0,2995000000.0,2731000000.0,3630000000.0
Cash Cash Equivalents And Short Term Investments,27209000000.0,23541000000.0,20883000000.0,20426000000.0
Other Short Term Investments,14045000000.0,9974000000.0,11328000000.0,13835000000.0
Cash And Cash Equivalents,13164000000.0,13567000000.0,9555000000.0,6591000000.0
Cash Equivalents,854000000.0,0.0,402000000.0,0.0
Cash Financial,12310000000.0,13567000000.0,9153000000.0,6591000000.0
