,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,9243000000.0,6173000000.0,6428000000.0,2481000000.0
Repurchase Of Capital Stock,-1925000000.0,-1249000000.0,-3127000000.0,-3479000000.0
Repayment Of Debt,-134000000.0,-116000000.0,-130000000.0,-116000000.0
Issuance Of Debt,,,0.0,0.0
Issuance Of Capital Stock,0.0,52000000.0,3000000.0,13000000.0
Capital Expenditure,-1032000000.0,-1164000000.0,-1053000000.0,-2758000000.0
End Cash Position,13164000000.0,13567000000.0,9555000000.0,6591000000.0
Beginning Cash Position,13567000000.0,9555000000.0,6591000000.0,11128000000.0
Effect Of Exchange Rate Changes,-30000000.0,76000000.0,348000000.0,-67000000.0
Changes In Cash,-373000000.0,3936000000.0,2616000000.0,-4470000000.0
Financing Cash Flow,-3830000000.0,-1538000000.0,-3419000000.0,-3710000000.0
Cash Flow From Continuing Financing Activities,-3830000000.0,-1538000000.0,-3419000000.0,-3710000000.0
Net Other Financing Charges,-83000000.0,-65000000.0,-35000000.0,-22000000.0
Interest Paid Cff,-119000000.0,-117000000.0,-115000000.0,-105000000.0
Proceeds From Stock Option Exercised,-61000000.0,-43000000.0,-15000000.0,-1000000.0
Cash Dividends Paid,-1508000000.0,0.0,0.0,0.0
Common Stock Dividend Paid,-1508000000.0,0.0,0.0,
Net Common Stock Issuance,-1925000000.0,-1197000000.0,-3124000000.0,-3466000000.0
Common Stock Payments,-1925000000.0,-1249000000.0,-3127000000.0,-3479000000.0
Common Stock Issuance,0.0,52000000.0,3000000.0,13000000.0
Net Issuance Payments Of Debt,-134000000.0,-116000000.0,-130000000.0,-116000000.0
Net Long Term Debt Issuance,-134000000.0,-116000000.0,-130000000.0,-116000000.0
Long Term Debt Payments,-134000000.0,-116000000.0,-130000000.0,-116000000.0
Long Term Debt Issuance,,,0.0,0.0
Investing Cash Flow,-6818000000.0,-1863000000.0,-1446000000.0,-5999000000.0
Cash Flow From Continuing Investing Activities,-6818000000.0,-1863000000.0,-1446000000.0,-5999000000.0
Net Other Investing Changes,22000000.0,-22000000.0,4000000.0,1000000.0
Dividends Received Cfi,61000000.0,126000000.0,74000000.0,88000000.0
Net Investment Purchase And Sale,-5828000000.0,-860000000.0,-327000000.0,-1255000000.0
Sale Of Investment,30886000000.0,12828000000.0,34385000000.0,20994000000.0
Purchase Of Investment,-36714000000.0,-13688000000.0,-34712000000.0,-22249000000.0
Net Business Purchase And Sale,-41000000.0,57000000.0,-144000000.0,-2075000000.0
Sale Of Business,18000000.0,66000000.0,21000000.0,3000000.0
Purchase Of Business,-59000000.0,-9000000.0,-165000000.0,-2078000000.0
Net Intangibles Purchase And Sale,-713000000.0,-999000000.0,-968000000.0,-2599000000.0
Purchase Of Intangibles,-713000000.0,-999000000.0,-968000000.0,-2599000000.0
Net PPE Purchase And Sale,-319000000.0,-165000000.0,-85000000.0,-159000000.0
Purchase Of PPE,-319000000.0,-165000000.0,-85000000.0,-159000000.0
Operating Cash Flow,10275000000.0,7337000000.0,7481000000.0,5239000000.0
Cash Flow From Continuing Operating Activities,10275000000.0,7337000000.0,7481000000.0,5239000000.0
Taxes Refund Paid,-1355000000.0,-825000000.0,-733000000.0,-589000000.0
Interest Received Cfo,913000000.0,707000000.0,587000000.0,458000000.0
Change In Working Capital,1556000000.0,786000000.0,2221000000.0,573000000.0
Change In Other Current Liabilities,193000000.0,846000000.0,659000000.0,309000000.0
Change In Other Current Assets,72000000.0,85000000.0,-17000000.0,408000000.0
Change In Payables And Accrued Expense,1845000000.0,52000000.0,663000000.0,631000000.0
Change In Payable,1845000000.0,52000000.0,663000000.0,631000000.0
Change In Account Payable,1845000000.0,52000000.0,663000000.0,631000000.0
Change In Inventory,-15000000.0,7000000.0,10000000.0,-6000000.0
Change In Receivables,-539000000.0,-204000000.0,906000000.0,-769000000.0
Changes In Account Receivables,-539000000.0,-204000000.0,906000000.0,-769000000.0
Other Non Cash Items,-1101000000.0,-932000000.0,-754000000.0,-418000000.0
Stock Based Compensation,596000000.0,649000000.0,665000000.0,647000000.0
Unrealized Gain Loss On Investment Securities,-12000000.0,0.0,-26000000.0,-105000000.0
Provisionand Write Offof Assets,17000000.0,17000000.0,47000000.0,9000000.0
Asset Impairment Charge,64000000.0,23000000.0,0.0,0.0
Depreciation Amortization Depletion,978000000.0,1004000000.0,1160000000.0,1001000000.0
Depreciation And Amortization,978000000.0,1004000000.0,1160000000.0,1001000000.0
Operating Gains Losses,-93000000.0,-137000000.0,-59000000.0,31000000.0
Earnings Losses From Equity Investments,-96000000.0,-127000000.0,-38000000.0,47000000.0
Gain Loss On Investment Securities,33000000.0,-27000000.0,-14000000.0,-17000000.0
Net Foreign Currency Exchange Gain Loss,-30000000.0,17000000.0,-7000000.0,1000000.0
Net Income From Continuing Operations,8712000000.0,6045000000.0,4373000000.0,3632000000.0
