,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-4784000.0,-1224000.0,23058000.0,14810848.017621
Tax Rate For Calcs,0.184,0.136,0.122,0.114813
Normalized EBITDA,9840000000.0,7182000000.0,5459000000.0,4624000000.0
Total Unusual Items,-26000000.0,-9000000.0,189000000.0,129000000.0
Total Unusual Items Excluding Goodwill,-26000000.0,-9000000.0,189000000.0,129000000.0
Net Income From Continuing Operation Net Minority Interest,6644000000.0,4920000000.0,3677000000.0,3029000000.0
Reconciled Depreciation,978000000.0,1004000000.0,1160000000.0,1001000000.0
Reconciled Cost Of Revenue,16376000000.0,17957000000.0,19566000000.0,21840000000.0
EBITDA,9814000000.0,7173000000.0,5648000000.0,4753000000.0
EBIT,8836000000.0,6169000000.0,4488000000.0,3752000000.0
Net Interest Income,1072000000.0,928000000.0,596000000.0,410000000.0
Interest Expense,124000000.0,124000000.0,115000000.0,120000000.0
Interest Income,1196000000.0,1052000000.0,711000000.0,530000000.0
Normalized Income,6665216000.0,4927776000.0,3511058000.0,2914810848.017621
Net Income From Continuing And Discontinued Operation,6644000000.0,4920000000.0,3677000000.0,3029000000.0
Total Expenses,20962000000.0,22780000000.0,24807000000.0,28134000000.0
Total Operating Income As Reported,8710000000.0,6059000000.0,4443000000.0,3800000000.0
Diluted Average Shares,1565430860.0,1584193016.0,1617253678.0,1681522878.0
Basic Average Shares,1542115014.0,1560826843.0,1601997986.0,1660533588.0
Diluted EPS,4.24,3.1,2.28,1.8
Basic EPS,4.3,3.16,2.3,1.82
Diluted NI Availto Com Stockholders,6644000000.0,4920000000.0,3677000000.0,3029000000.0
Net Income Common Stockholders,6644000000.0,4920000000.0,3677000000.0,3029000000.0
Net Income,6644000000.0,4920000000.0,3677000000.0,3029000000.0
Minority Interests,-465000000.0,-300000000.0,-162000000.0,-186000000.0
Net Income Including Noncontrolling Interests,7109000000.0,5220000000.0,3839000000.0,3215000000.0
Net Income Continuous Operations,7109000000.0,5220000000.0,3839000000.0,3215000000.0
Tax Provision,1603000000.0,825000000.0,534000000.0,417000000.0
Pretax Income,8712000000.0,6045000000.0,4373000000.0,3632000000.0
Other Income Expense,201000000.0,145000000.0,245000000.0,112000000.0
Other Non Operating Income Expenses,131000000.0,27000000.0,18000000.0,30000000.0
Special Income Charges,-35000000.0,-19000000.0,141000000.0,8000000.0
Gain On Sale Of Business,,,1000000.0,-10000000.0
Write Off,64000000.0,23000000.0,0.0,0.0
Restructuring And Mergern Acquisition,-29000000.0,-4000000.0,-141000000.0,-8000000.0
Earnings From Equity Interest,96000000.0,127000000.0,38000000.0,-47000000.0
Gain On Sale Of Security,9000000.0,10000000.0,48000000.0,121000000.0
Net Non Operating Interest Income Expense,1072000000.0,928000000.0,596000000.0,410000000.0
Interest Expense Non Operating,124000000.0,124000000.0,115000000.0,120000000.0
Interest Income Non Operating,1196000000.0,1052000000.0,711000000.0,530000000.0
Operating Income,7439000000.0,4972000000.0,3532000000.0,3110000000.0
Operating Expense,4586000000.0,4823000000.0,5241000000.0,6294000000.0
Other Operating Expenses,-90000000.0,-195000000.0,-316000000.0,-393000000.0
Selling General And Administration,4676000000.0,5018000000.0,5557000000.0,6687000000.0
Selling And Marketing Expense,865000000.0,897000000.0,1144000000.0,2678000000.0
General And Administrative Expense,3811000000.0,4121000000.0,4413000000.0,4009000000.0
Other Gand A,3811000000.0,4121000000.0,4413000000.0,4009000000.0
Gross Profit,12025000000.0,9795000000.0,8773000000.0,9404000000.0
Cost Of Revenue,16376000000.0,17957000000.0,19566000000.0,21840000000.0
Total Revenue,28401000000.0,27752000000.0,28339000000.0,31244000000.0
Operating Revenue,28401000000.0,27752000000.0,28339000000.0,31244000000.0
