,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,,0.177389,0.172703,0.092263,0.169268,0.176782
Normalized EBITDA,,2721000000.0,2994000000.0,4859000000.0,2470000000.0,2173000000.0
Net Income From Continuing Operation Net Minority Interest,,2153000000.0,2409000000.0,4291000000.0,1957000000.0,1583000000.0
Reconciled Cost Of Revenue,,4781000000.0,4693000000.0,4114000000.0,4205000000.0,4024000000.0
EBITDA,,2721000000.0,2994000000.0,4859000000.0,2470000000.0,2173000000.0
EBIT,,2721000000.0,2994000000.0,4859000000.0,2470000000.0,2173000000.0
Net Interest Income,,213000000.0,242000000.0,272000000.0,344000000.0,202000000.0
Interest Expense,,32000000.0,12000000.0,25000000.0,-29000000.0,97000000.0
Interest Income,,245000000.0,254000000.0,297000000.0,315000000.0,299000000.0
Normalized Income,,2153000000.0,2409000000.0,4291000000.0,1957000000.0,1583000000.0
Net Income From Continuing And Discontinued Operation,,2153000000.0,2409000000.0,4291000000.0,1957000000.0,1583000000.0
Total Expenses,,6092000000.0,5849000000.0,5257000000.0,5289000000.0,5242000000.0
Total Operating Income As Reported,,2710000000.0,2978000000.0,4836000000.0,2409000000.0,2144000000.0
Diluted Average Shares,1557747661.0,1559235663.0,1551468774.0,1546504271.0,1556171427.0,
Basic Average Shares,1539916370.0,1537258688.0,1529891536.0,1527261086.0,1537594516.0,
Diluted EPS,1.42,1.38,1.56,2.78,1.26,
Basic EPS,1.44,1.4,1.58,2.8,1.28,
Diluted NI Availto Com Stockholders,,2153000000.0,2409000000.0,4291000000.0,1957000000.0,1583000000.0
Net Income Common Stockholders,,2153000000.0,2409000000.0,4291000000.0,1957000000.0,1583000000.0
Net Income,,2153000000.0,2409000000.0,4291000000.0,1957000000.0,1583000000.0
Minority Interests,,-59000000.0,-58000000.0,-97000000.0,-119000000.0,-126000000.0
Net Income Including Noncontrolling Interests,,2212000000.0,2467000000.0,4388000000.0,2076000000.0,1709000000.0
Net Income Continuous Operations,,2212000000.0,2467000000.0,4388000000.0,2076000000.0,1709000000.0
Tax Provision,,477000000.0,515000000.0,446000000.0,423000000.0,367000000.0
Pretax Income,,2689000000.0,2982000000.0,4834000000.0,2499000000.0,2076000000.0
Other Income Expense,,105000000.0,147000000.0,2463000000.0,-14000000.0,101000000.0
Other Non Operating Income Expenses,,94000000.0,131000000.0,2440000000.0,-19000000.0,72000000.0
Earnings From Equity Interest,,11000000.0,16000000.0,23000000.0,31000000.0,29000000.0
Net Non Operating Interest Income Expense,,213000000.0,242000000.0,272000000.0,344000000.0,202000000.0
Interest Expense Non Operating,,32000000.0,12000000.0,25000000.0,-29000000.0,97000000.0
Interest Income Non Operating,,245000000.0,254000000.0,297000000.0,315000000.0,299000000.0
Operating Income,,2371000000.0,2593000000.0,2099000000.0,2169000000.0,1773000000.0
Operating Expense,,1311000000.0,1156000000.0,1143000000.0,1084000000.0,1218000000.0
Selling General And Administration,,1311000000.0,1156000000.0,1143000000.0,1174000000.0,1218000000.0
Selling And Marketing Expense,,260000000.0,216000000.0,199000000.0,248000000.0,220000000.0
General And Administrative Expense,,1051000000.0,940000000.0,944000000.0,926000000.0,998000000.0
Other Gand A,,1051000000.0,940000000.0,944000000.0,926000000.0,998000000.0
Gross Profit,,3682000000.0,3749000000.0,3242000000.0,3253000000.0,2991000000.0
Cost Of Revenue,,4781000000.0,4693000000.0,4114000000.0,4205000000.0,4024000000.0
Total Revenue,,8463000000.0,8442000000.0,7356000000.0,7458000000.0,7015000000.0
Operating Revenue,,8463000000.0,8442000000.0,7356000000.0,7458000000.0,7015000000.0
