,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,475923000.0,496101000.0,488916000.0,490468000.0,
Share Issued,475923000.0,496101000.0,488916000.0,490468000.0,
Total Debt,436330000.0,312215000.0,235893000.0,260957000.0,
Tangible Book Value,2464462000.0,2934524000.0,2147318000.0,2096795000.0,
Invested Capital,2484391000.0,2949145000.0,2164219000.0,2115339000.0,
Working Capital,1995007000.0,2462993000.0,1803116000.0,1816294000.0,
Net Tangible Assets,2464462000.0,2934524000.0,2147318000.0,2096795000.0,
Capital Lease Obligations,436330000.0,312215000.0,235893000.0,260957000.0,
Common Stock Equity,2484391000.0,2949145000.0,2164219000.0,2115339000.0,
Total Capitalization,2484391000.0,2949145000.0,2164219000.0,2115339000.0,
Total Equity Gross Minority Interest,2484391000.0,2949145000.0,2164219000.0,2115339000.0,
Stockholders Equity,2484391000.0,2949145000.0,2164219000.0,2115339000.0,
Retained Earnings,-590912000.0,354249000.0,196954000.0,665514000.0,
Additional Paid In Capital,3075303000.0,2594896000.0,1967265000.0,1449825000.0,
Capital Stock,0.0,0.0,0.0,0.0,
Common Stock,0.0,0.0,0.0,0.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,3668829000.0,3162806000.0,2724468000.0,2265340000.0,
Total Non Current Liabilities Net Minority Interest,402832000.0,289341000.0,213630000.0,236017000.0,
Other Non Current Liabilities,42857000.0,41618000.0,33261000.0,27490000.0,
Long Term Debt And Capital Lease Obligation,359975000.0,247723000.0,180369000.0,208527000.0,
Long Term Capital Lease Obligation,359975000.0,247723000.0,180369000.0,208527000.0,
Current Liabilities,3265997000.0,2873465000.0,2510838000.0,2029323000.0,
Current Debt And Capital Lease Obligation,76355000.0,64492000.0,55524000.0,52430000.0,
Current Capital Lease Obligation,76355000.0,64492000.0,55524000.0,52430000.0,
Payables And Accrued Expenses,3189642000.0,2808973000.0,2455314000.0,1976893000.0,
Current Accrued Expenses,181991000.0,177760000.0,137996000.0,105474000.0,
Payables,3007651000.0,2631213000.0,2317318000.0,1871419000.0,
Accounts Payable,3007651000.0,2631213000.0,2317318000.0,1871419000.0,
Total Assets,6153220000.0,6111951000.0,4888687000.0,4380679000.0,
Total Non Current Assets,892216000.0,775493000.0,574733000.0,535062000.0,
Other Non Current Assets,77726000.0,57565000.0,43829000.0,28335000.0,
Non Current Deferred Assets,55700000.0,230214000.0,154849000.0,94028000.0,
Non Current Deferred Taxes Assets,55700000.0,230214000.0,154849000.0,94028000.0,
Goodwill And Other Intangible Assets,19929000.0,14621000.0,16901000.0,18544000.0,
Other Intangible Assets,19929000.0,14621000.0,16901000.0,18544000.0,
Net PPE,738861000.0,473093000.0,359154000.0,394155000.0,
Accumulated Depreciation,-262213000.0,-215016000.0,-158537000.0,-105894000.0,
Gross PPE,1001074000.0,688109000.0,517691000.0,500049000.0,
Leases,213978000.0,156423000.0,129992000.0,121700000.0,
Construction In Progress,117857000.0,34537000.0,8487000.0,10904000.0,
Other Properties,342042000.0,263761000.0,197732000.0,220396000.0,
Machinery Furniture Equipment,327197000.0,233388000.0,181480000.0,147049000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,5261004000.0,5336458000.0,4313954000.0,3845617000.0,
Other Current Assets,187753000.0,84626000.0,63353000.0,51836000.0,
Prepaid Assets,,,,,112150000.0
Receivables,3770194000.0,3330343000.0,2870313000.0,2347195000.0,
Accounts Receivable,3770194000.0,3330343000.0,2870313000.0,2347195000.0,
Allowance For Doubtful Accounts Receivable,-12199000.0,-11244000.0,-12826000.0,-10477000.0,
Gross Accounts Receivable,3782393000.0,3341587000.0,2883139000.0,2357672000.0,
Cash Cash Equivalents And Short Term Investments,1303057000.0,1921489000.0,1380288000.0,1446586000.0,
Other Short Term Investments,644882000.0,552026000.0,485159000.0,416080000.0,
Cash And Cash Equivalents,658175000.0,1369463000.0,895129000.0,1030506000.0,
Cash Equivalents,417259000.0,1151015000.0,605617000.0,690789000.0,
Cash Financial,240916000.0,218448000.0,289512000.0,339717000.0,
