,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,234459.0,290925.0,-329676.0,201810.0,
Tax Rate For Calcs,0.327,0.225,0.332,0.21,
Normalized EBITDA,704388000.0,513364000.0,281891000.0,167118000.0,
Total Unusual Items,717000.0,1293000.0,-993000.0,961000.0,
Total Unusual Items Excluding Goodwill,717000.0,1293000.0,-993000.0,961000.0,
Net Income From Continuing Operation Net Minority Interest,443304000.0,393076000.0,178940000.0,53385000.0,
Reconciled Depreciation,115784000.0,87490000.0,80418000.0,54425000.0,
Reconciled Cost Of Revenue,619067000.0,472012000.0,365598000.0,281123000.0,
EBITDA,705105000.0,514657000.0,280898000.0,168079000.0,
EBIT,589321000.0,427167000.0,200480000.0,113654000.0,
Net Interest Income,68717000.0,78842000.0,68508000.0,12755000.0,
Interest Income,68717000.0,78842000.0,68508000.0,12755000.0,
Normalized Income,442821459.0,392073925.0,179603324.0,52625810.0,
Net Income From Continuing And Discontinued Operation,443304000.0,393076000.0,178940000.0,53385000.0,
Total Expenses,2306963000.0,2017664000.0,1745640000.0,1464141000.0,
Total Operating Income As Reported,589321000.0,427167000.0,200480000.0,113654000.0,
Diluted Average Shares,493551000.0,501924000.0,500182000.0,499925000.0,
Basic Average Shares,488278000.0,490879000.0,489261000.0,486937000.0,
Diluted EPS,0.9,0.78,0.36,0.11,
Basic EPS,0.91,0.8,0.37,0.11,
Diluted NI Availto Com Stockholders,443304000.0,393076000.0,178940000.0,53385000.0,
Net Income Common Stockholders,443304000.0,393076000.0,178940000.0,53385000.0,
Net Income,443304000.0,393076000.0,178940000.0,53385000.0,
Net Income Including Noncontrolling Interests,443304000.0,393076000.0,178940000.0,53385000.0,
Net Income Continuous Operations,443304000.0,393076000.0,178940000.0,53385000.0,
Tax Provision,215451000.0,114226000.0,89055000.0,73985000.0,
Pretax Income,658755000.0,507302000.0,267995000.0,127370000.0,
Other Income Expense,717000.0,1293000.0,-993000.0,961000.0,
Gain On Sale Of Security,717000.0,1293000.0,-993000.0,961000.0,
Net Non Operating Interest Income Expense,68717000.0,78842000.0,68508000.0,12755000.0,
Total Other Finance Cost,,,-68508000.0,-12755000.0,1030000.0
Interest Income Non Operating,68717000.0,78842000.0,68508000.0,12755000.0,
Operating Income,589321000.0,427167000.0,200480000.0,113654000.0,
Operating Expense,1687896000.0,1545652000.0,1380042000.0,1183018000.0,
Research And Development,525141000.0,463319000.0,411794000.0,319876000.0,
Selling General And Administration,1162755000.0,1082333000.0,968248000.0,863142000.0,
Selling And Marketing Expense,644300000.0,546517000.0,447970000.0,337975000.0,
General And Administrative Expense,518455000.0,535816000.0,520278000.0,525167000.0,
Other Gand A,518455000.0,535816000.0,520278000.0,525167000.0,
Gross Profit,2277217000.0,1972819000.0,1580522000.0,1296672000.0,
Cost Of Revenue,619067000.0,472012000.0,365598000.0,281123000.0,
Total Revenue,2896284000.0,2444831000.0,1946120000.0,1577795000.0,
Operating Revenue,2896284000.0,2444831000.0,1946120000.0,1577795000.0,
