,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,281607000.0,154996000.0,116695000.0,229660000.0,177095000.0,
Repurchase Of Capital Stock,-422882000.0,-310447000.0,-260843000.0,-386250000.0,-57356000.0,
Capital Expenditure,-29982000.0,-69690000.0,-48318000.0,-61773000.0,-22306000.0,
End Cash Position,658175000.0,653134000.0,896387000.0,1118545000.0,1369463000.0,
Beginning Cash Position,653134000.0,896387000.0,1118545000.0,1369463000.0,1221475000.0,
Changes In Cash,5041000.0,-243253000.0,-222158000.0,-250918000.0,147988000.0,
Financing Cash Flow,-426844000.0,-401166000.0,-173605000.0,-409762000.0,9770000.0,
Cash Flow From Continuing Financing Activities,-426844000.0,-401166000.0,-173605000.0,-409762000.0,9770000.0,
Net Other Financing Charges,-17928000.0,-22678000.0,-25596000.0,-31452000.0,-41332000.0,
Proceeds From Stock Option Exercised,13966000.0,6198000.0,38595000.0,7940000.0,108458000.0,
Net Common Stock Issuance,-422882000.0,-310447000.0,-260843000.0,-386250000.0,-57356000.0,
Common Stock Payments,-422882000.0,-310447000.0,-260843000.0,-386250000.0,-57356000.0,
Investing Cash Flow,120296000.0,-66773000.0,-213566000.0,-132589000.0,-61183000.0,
Cash Flow From Continuing Investing Activities,120296000.0,-66773000.0,-213566000.0,-132589000.0,-61183000.0,
Net Investment Purchase And Sale,150278000.0,2917000.0,-165248000.0,-66466000.0,-38877000.0,
Sale Of Investment,278341000.0,251293000.0,181006000.0,165114000.0,154066000.0,
Purchase Of Investment,-128063000.0,-248376000.0,-346254000.0,-231580000.0,-192943000.0,
Net Business Purchase And Sale,0.0,0.0,0.0,-4350000.0,,
Purchase Of Business,0.0,0.0,0.0,-4350000.0,,
Net PPE Purchase And Sale,-26323000.0,-66336000.0,-45239000.0,-59113000.0,-20190000.0,
Purchase Of PPE,-26323000.0,-66336000.0,-45239000.0,-59113000.0,-20190000.0,
Capital Expenditure Reported,-3659000.0,-3354000.0,-3079000.0,-2660000.0,-2116000.0,
Operating Cash Flow,311589000.0,224686000.0,165013000.0,291433000.0,199401000.0,
Cash Flow From Continuing Operating Activities,311589000.0,224686000.0,165013000.0,291433000.0,199401000.0,
Change In Working Capital,-80575000.0,-180835000.0,-96658000.0,82939000.0,-79183000.0,
Change In Other Current Liabilities,-16314000.0,-15959000.0,-17697000.0,-13854000.0,-9836000.0,
Change In Payables And Accrued Expense,204416000.0,137503000.0,161641000.0,-205561000.0,249462000.0,
Change In Accrued Expense,33724000.0,-2717000.0,-53186000.0,29105000.0,37718000.0,
Change In Payable,170692000.0,140220000.0,214827000.0,-234666000.0,211744000.0,
Change In Account Payable,170692000.0,140220000.0,214827000.0,-234666000.0,211744000.0,
Change In Prepaid Assets,14988000.0,-73293000.0,-38299000.0,20018000.0,29707000.0,
Change In Receivables,-283665000.0,-229086000.0,-202303000.0,282336000.0,-348516000.0,
Changes In Account Receivables,-283665000.0,-229086000.0,-202303000.0,282336000.0,-348516000.0,
Other Non Cash Items,13052000.0,17039000.0,15268000.0,5086000.0,19901000.0,
Stock Based Compensation,112173000.0,121316000.0,128885000.0,128253000.0,129229000.0,
Provisionand Write Offof Assets,,321000.0,685000.0,492000.0,16000.0,704000.0
Deferred Tax,49527000.0,,,,,
Deferred Income Tax,49527000.0,,,,,
Depreciation Amortization Depletion,31960000.0,33135000.0,26704000.0,23985000.0,24112000.0,
Depreciation And Amortization,31960000.0,33135000.0,26704000.0,23985000.0,24112000.0,
Net Income From Continuing Operations,186950000.0,115547000.0,90129000.0,50678000.0,182229000.0,
