,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-205618.805177,644997.576858,-520934.467459,392414.245932,237002.784309,
Tax Rate For Calcs,0.308274,0.356352,0.323361,0.331151,0.177663,
Normalized EBITDA,289500000.0,192544000.0,145092000.0,77252000.0,218087000.0,
Total Unusual Items,-667000.0,1810000.0,-1611000.0,1185000.0,1334000.0,
Total Unusual Items Excluding Goodwill,-667000.0,1810000.0,-1611000.0,1185000.0,1334000.0,
Net Income From Continuing Operation Net Minority Interest,186950000.0,115547000.0,90129000.0,50678000.0,182229000.0,
Reconciled Depreciation,31960000.0,33135000.0,26704000.0,23985000.0,24112000.0,
Reconciled Cost Of Revenue,163094000.0,162154000.0,150980000.0,142839000.0,135267000.0,
EBITDA,288833000.0,194354000.0,143481000.0,78437000.0,219421000.0,
EBIT,256873000.0,161219000.0,116777000.0,54452000.0,195309000.0,
Net Interest Income,14060000.0,16490000.0,18035000.0,20132000.0,24956000.0,
Interest Income,14060000.0,16490000.0,18035000.0,,24956000.0,19408000.0
Normalized Income,187411381.194823,114381997.576858,91219065.532541,49885414.245932,181132002.784309,
Net Income From Continuing And Discontinued Operation,186950000.0,115547000.0,90129000.0,50678000.0,182229000.0,
Total Expenses,589918000.0,578214000.0,577262000.0,561569000.0,545703000.0,
Total Operating Income As Reported,256873000.0,161219000.0,116777000.0,54452000.0,195309000.0,
Diluted Average Shares,482725000.0,492984000.0,495776000.0,502944000.0,506843000.0,
Basic Average Shares,479994000.0,487729000.0,490631000.0,494927000.0,493958000.0,
Diluted EPS,0.39,0.23,0.18,0.1,0.36,
Basic EPS,0.39,0.24,0.18,0.1,0.37,
Diluted NI Availto Com Stockholders,186950000.0,115547000.0,90129000.0,50678000.0,182229000.0,
Net Income Common Stockholders,186950000.0,115547000.0,90129000.0,50678000.0,182229000.0,
Net Income,186950000.0,115547000.0,90129000.0,50678000.0,182229000.0,
Net Income Including Noncontrolling Interests,186950000.0,115547000.0,90129000.0,50678000.0,182229000.0,
Net Income Continuous Operations,186950000.0,115547000.0,90129000.0,50678000.0,182229000.0,
Tax Provision,83316000.0,63972000.0,43072000.0,25091000.0,39370000.0,
Pretax Income,270266000.0,179519000.0,133201000.0,75769000.0,221599000.0,
Other Income Expense,-667000.0,1810000.0,-1611000.0,1185000.0,1334000.0,
Gain On Sale Of Security,-667000.0,1810000.0,-1611000.0,1185000.0,1334000.0,
Net Non Operating Interest Income Expense,14060000.0,16490000.0,18035000.0,20132000.0,24956000.0,
Total Other Finance Cost,,,,-20132000.0,,
Interest Income Non Operating,14060000.0,16490000.0,18035000.0,,24956000.0,19408000.0
Operating Income,256873000.0,161219000.0,116777000.0,54452000.0,195309000.0,
Operating Expense,426824000.0,416060000.0,426282000.0,418730000.0,410436000.0,
Research And Development,130595000.0,127893000.0,134251000.0,132402000.0,127893000.0,
Selling General And Administration,296229000.0,288167000.0,292031000.0,286328000.0,282543000.0,
Selling And Marketing Expense,173596000.0,156830000.0,161131000.0,152743000.0,150629000.0,
General And Administrative Expense,122633000.0,131337000.0,130900000.0,133585000.0,131914000.0,
Other Gand A,122633000.0,131337000.0,130900000.0,133585000.0,131914000.0,
Gross Profit,683697000.0,577279000.0,543059000.0,473182000.0,605745000.0,
Cost Of Revenue,163094000.0,162154000.0,150980000.0,142839000.0,135267000.0,
Total Revenue,846791000.0,739433000.0,694039000.0,616021000.0,741012000.0,
Operating Revenue,846791000.0,739433000.0,694039000.0,616021000.0,741012000.0,
