,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,36179549.0,30198688.0,23432968.0,23432968.0
Ordinary Shares Number,653270717.0,644089050.0,646066830.0,641329557.0
Share Issued,689450266.0,674287738.0,669499798.0,664762525.0
Net Debt,,3364000000.0,28851000000.0,31141000000.0
Total Debt,40322000000.0,45573000000.0,46659000000.0,51722000000.0
Tangible Book Value,68799000000.0,50168000000.0,40121000000.0,37278000000.0
Invested Capital,182117000000.0,167140000000.0,158134000000.0,160636000000.0
Working Capital,38110000000.0,16321000000.0,196000000.0,-110000000.0
Net Tangible Assets,68799000000.0,50168000000.0,40121000000.0,37278000000.0
Capital Lease Obligations,755000000.0,617000000.0,808000000.0,763000000.0
Common Stock Equity,142550000000.0,122184000000.0,112283000000.0,109677000000.0
Total Capitalization,162684000000.0,141283000000.0,125460000000.0,120770000000.0
Total Equity Gross Minority Interest,143482000000.0,123006000000.0,113019000000.0,110456000000.0
Minority Interest,932000000.0,822000000.0,736000000.0,779000000.0
Stockholders Equity,142550000000.0,122184000000.0,112283000000.0,109677000000.0
Other Equity Interest,743000000.0,,,
Gains Losses Not Affecting Retained Earnings,1263000000.0,-328000000.0,-943000000.0,-870000000.0
Other Equity Adjustments,1263000000.0,-328000000.0,-943000000.0,-870000000.0
Treasury Stock,5900000000.0,3728000000.0,2111000000.0,2111000000.0
Retained Earnings,45251000000.0,28806000000.0,20135000000.0,18823000000.0
Additional Paid In Capital,101187000000.0,97428000000.0,95196000000.0,93829000000.0
Capital Stock,6000000.0,6000000.0,6000000.0,6000000.0
Common Stock,6000000.0,6000000.0,6000000.0,6000000.0
Total Liabilities Net Minority Interest,99099000000.0,96131000000.0,78672000000.0,81403000000.0
Total Non Current Liabilities Net Minority Interest,25089000000.0,23720000000.0,17433000000.0,15185000000.0
Other Non Current Liabilities,296000000.0,319000000.0,235000000.0,165000000.0
Non Current Deferred Liabilities,4098000000.0,3825000000.0,3487000000.0,3527000000.0
Non Current Deferred Taxes Liabilities,4098000000.0,3825000000.0,3487000000.0,3527000000.0
Long Term Debt And Capital Lease Obligation,20695000000.0,19576000000.0,13711000000.0,11493000000.0
Long Term Capital Lease Obligation,561000000.0,477000000.0,534000000.0,400000000.0
Long Term Debt,20134000000.0,19099000000.0,13177000000.0,11093000000.0
Current Liabilities,74010000000.0,72411000000.0,61239000000.0,66218000000.0
Current Deferred Liabilities,18029000000.0,13380000000.0,8278000000.0,7535000000.0
Current Deferred Revenue,18029000000.0,13380000000.0,8278000000.0,7535000000.0
Current Debt And Capital Lease Obligation,19627000000.0,25997000000.0,32948000000.0,40229000000.0
Current Capital Lease Obligation,194000000.0,140000000.0,274000000.0,363000000.0
Current Debt,19433000000.0,25857000000.0,32674000000.0,39866000000.0
Other Current Borrowings,15527000000.0,22161000000.0,28470000000.0,39866000000.0
Current Notes Payable,3906000000.0,3696000000.0,4204000000.0,0.0
Payables And Accrued Expenses,36354000000.0,33034000000.0,20013000000.0,18454000000.0
Current Accrued Expenses,8838000000.0,6804000000.0,5674000000.0,5416000000.0
Interest Payable,117000000.0,143000000.0,43000000.0,
Payables,27516000000.0,26230000000.0,14339000000.0,13038000000.0
Other Payable,8424000000.0,7430000000.0,5779000000.0,5816000000.0
Dueto Related Parties Current,397000000.0,303000000.0,156000000.0,138000000.0
Total Tax Payable,2117000000.0,2038000000.0,835000000.0,1065000000.0
Accounts Payable,16578000000.0,16459000000.0,7569000000.0,6019000000.0
Total Assets,242581000000.0,219137000000.0,191691000000.0,191859000000.0
Total Non Current Assets,130461000000.0,130405000000.0,130256000000.0,125751000000.0
Other Non Current Assets,35000000.0,78000000.0,69000000.0,71000000.0
Non Current Prepaid Assets,326000000.0,470000000.0,385000000.0,366000000.0
Non Current Deferred Assets,3254000000.0,2576000000.0,1324000000.0,1684000000.0
Non Current Deferred Taxes Assets,3254000000.0,2576000000.0,1324000000.0,1684000000.0
Duefrom Related Parties Non Current,0.0,25000000.0,25000000.0,25000000.0
Non Current Accounts Receivable,,25000000.0,25000000.0,25000000.0
Financial Assets,0.0,39000000.0,58000000.0,0.0
Investments And Advances,47194000000.0,49342000000.0,50177000000.0,44961000000.0
Investmentin Financial Assets,47194000000.0,49342000000.0,50177000000.0,44961000000.0
Held To Maturity Securities,11394000000.0,17625000000.0,18128000000.0,16467000000.0
Available For Sale Securities,35800000000.0,31717000000.0,32049000000.0,28494000000.0
Long Term Equity Investment,,,32049000000.0,28494000000.0
Goodwill And Other Intangible Assets,73751000000.0,72016000000.0,72162000000.0,72399000000.0
Other Intangible Assets,12840000000.0,12644000000.0,12825000000.0,13046000000.0
Goodwill,60911000000.0,59372000000.0,59337000000.0,59353000000.0
Net PPE,5901000000.0,5859000000.0,6056000000.0,6316000000.0
Accumulated Depreciation,-4782000000.0,-4447000000.0,-3949000000.0,-3639000000.0
Gross PPE,10683000000.0,10306000000.0,10005000000.0,9955000000.0
Leases,258000000.0,253000000.0,248000000.0,222000000.0
Construction In Progress,93000000.0,76000000.0,33000000.0,5000000.0
Other Properties,2911000000.0,2716000000.0,2621000000.0,2400000000.0
Machinery Furniture Equipment,2012000000.0,1852000000.0,1694000000.0,1920000000.0
Buildings And Improvements,5409000000.0,5409000000.0,5409000000.0,5408000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,112120000000.0,88732000000.0,61435000000.0,66108000000.0
Other Current Assets,1009000000.0,955000000.0,748000000.0,556000000.0
Restricted Cash,2654000000.0,2391000000.0,1487000000.0,1378000000.0
Prepaid Assets,9701000000.0,7087000000.0,5259000000.0,4176000000.0
Receivables,21842000000.0,18959000000.0,11396000000.0,10614000000.0
Other Receivables,5662000000.0,4193000000.0,3403000000.0,3679000000.0
Duefrom Related Parties Current,2803000000.0,2842000000.0,1748000000.0,1665000000.0
Accrued Interest Receivable,918000000.0,514000000.0,759000000.0,621000000.0
Accounts Receivable,12459000000.0,11410000000.0,5486000000.0,4649000000.0
Allowance For Doubtful Accounts Receivable,-190000000.0,-206000000.0,-292000000.0,-482000000.0
Gross Accounts Receivable,12649000000.0,11616000000.0,5778000000.0,5131000000.0
Cash Cash Equivalents And Short Term Investments,76914000000.0,59340000000.0,42545000000.0,49384000000.0
Other Short Term Investments,28475000000.0,17748000000.0,25545000000.0,29566000000.0
Cash And Cash Equivalents,48439000000.0,41592000000.0,17000000000.0,19818000000.0
