,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,19034000000.0,21398000000.0,2143000000.0,1904000000.0
Repurchase Of Capital Stock,-2172000000.0,-1617000000.0,0.0,0.0
Repayment Of Debt,-51170000000.0,-48510000000.0,-39882000000.0,-33471000000.0
Issuance Of Debt,45104000000.0,47445000000.0,33102000000.0,29420000000.0
Issuance Of Capital Stock,,0.0,0.0,7984000000.0
Capital Expenditure,-591000000.0,-606000000.0,-498000000.0,-571000000.0
Interest Paid Supplemental Data,1653000000.0,1889000000.0,1444000000.0,1498000000.0
Income Tax Paid Supplemental Data,2700000000.0,1290000000.0,471000000.0,753000000.0
End Cash Position,51093000000.0,43983000000.0,18487000000.0,21196000000.0
Beginning Cash Position,43983000000.0,18487000000.0,21196000000.0,19415000000.0
Effect Of Exchange Rate Changes,247000000.0,120000000.0,231000000.0,-465000000.0
Changes In Cash,6863000000.0,25376000000.0,-2940000000.0,2246000000.0
Financing Cash Flow,-6710000000.0,-2547000000.0,-6717000000.0,3919000000.0
Cash Flow From Continuing Financing Activities,-6710000000.0,-2547000000.0,-6717000000.0,3919000000.0
Net Other Financing Charges,-198000000.0,-264000000.0,-116000000.0,-321000000.0
Proceeds From Stock Option Exercised,1726000000.0,399000000.0,179000000.0,307000000.0
Net Common Stock Issuance,-2172000000.0,-1617000000.0,0.0,7984000000.0
Common Stock Payments,-2172000000.0,-1617000000.0,0.0,0.0
Common Stock Issuance,,0.0,0.0,7984000000.0
Net Issuance Payments Of Debt,-6066000000.0,-1065000000.0,-6780000000.0,-4051000000.0
Net Short Term Debt Issuance,-3275000000.0,-6194000000.0,-4870000000.0,5600000000.0
Short Term Debt Payments,-35050000000.0,-40756000000.0,-28164000000.0,-23053000000.0
Short Term Debt Issuance,31775000000.0,34562000000.0,23294000000.0,28653000000.0
Net Long Term Debt Issuance,-2791000000.0,5129000000.0,-1910000000.0,-9651000000.0
Long Term Debt Payments,-16120000000.0,-7754000000.0,-11718000000.0,-10418000000.0
Long Term Debt Issuance,13329000000.0,12883000000.0,9808000000.0,767000000.0
Investing Cash Flow,-6052000000.0,5919000000.0,1136000000.0,-4148000000.0
Cash Flow From Continuing Investing Activities,-6052000000.0,5919000000.0,1136000000.0,-4148000000.0
Net Other Investing Changes,-1656000000.0,-923000000.0,439000000.0,-1217000000.0
Net Investment Purchase And Sale,-5022000000.0,7448000000.0,1200000000.0,-2316000000.0
Sale Of Investment,64984000000.0,23915000000.0,22799000000.0,4502000000.0
Purchase Of Investment,-70006000000.0,-16467000000.0,-21599000000.0,-6818000000.0
Net Business Purchase And Sale,1217000000.0,0.0,-5000000.0,-44000000.0
Purchase Of Business,,0.0,-5000000.0,-44000000.0
Net Intangibles Purchase And Sale,0.0,0.0,-1000000.0,-1000000.0
Purchase Of Intangibles,0.0,0.0,-1000000.0,-1000000.0
Net PPE Purchase And Sale,-591000000.0,-606000000.0,-497000000.0,-570000000.0
Purchase Of PPE,-591000000.0,-606000000.0,-497000000.0,-570000000.0
Operating Cash Flow,19625000000.0,22004000000.0,2641000000.0,2475000000.0
Cash Flow From Continuing Operating Activities,19625000000.0,22004000000.0,2641000000.0,2475000000.0
Change In Working Capital,3321000000.0,9256000000.0,-800000000.0,177000000.0
Change In Other Working Capital,3869000000.0,5129000000.0,708000000.0,-69000000.0
Change In Payables And Accrued Expense,2791000000.0,13274000000.0,1085000000.0,1087000000.0
Change In Accrued Expense,1408000000.0,648000000.0,-4000000.0,-78000000.0
Change In Payable,1383000000.0,12626000000.0,1089000000.0,1165000000.0
Change In Account Payable,-203000000.0,8977000000.0,1309000000.0,1513000000.0
Change In Tax Payable,160000000.0,1203000000.0,-228000000.0,-149000000.0
Change In Income Tax Payable,160000000.0,1203000000.0,-228000000.0,-149000000.0
Change In Prepaid Assets,-2415000000.0,-2101000000.0,-1659000000.0,-560000000.0
Change In Receivables,-924000000.0,-7046000000.0,-934000000.0,-281000000.0
Changes In Account Receivables,-1145000000.0,-6026000000.0,-701000000.0,-468000000.0
Other Non Cash Items,109000000.0,,,-30000000.0
Stock Based Compensation,2042000000.0,1834000000.0,1188000000.0,1681000000.0
Unrealized Gain Loss On Investment Securities,-1082000000.0,1507000000.0,-1338000000.0,170000000.0
Provisionand Write Offof Assets,330000000.0,79000000.0,296000000.0,141000000.0
Asset Impairment Charge,122000000.0,115000000.0,949000000.0,96000000.0
Deferred Tax,-505000000.0,-761000000.0,295000000.0,-337000000.0
Deferred Income Tax,-505000000.0,-761000000.0,295000000.0,-337000000.0
Depreciation Amortization Depletion,1107000000.0,1052000000.0,1291000000.0,1413000000.0
Depreciation And Amortization,1107000000.0,1052000000.0,1291000000.0,1413000000.0
Amortization Cash Flow,196000000.0,190000000.0,243000000.0,298000000.0
Amortization Of Intangibles,196000000.0,190000000.0,243000000.0,298000000.0
Depreciation,911000000.0,862000000.0,1048000000.0,1115000000.0
Operating Gains Losses,-3046000000.0,-1080000000.0,-607000000.0,-191000000.0
Earnings Losses From Equity Investments,-2828000000.0,-1072000000.0,-549000000.0,-96000000.0
Gain Loss On Investment Securities,-218000000.0,-22000000.0,-59000000.0,-120000000.0
Gain Loss On Sale Of PPE,12000000.0,25000000.0,24000000.0,97000000.0
Gain Loss On Sale Of Business,-12000000.0,-11000000.0,-23000000.0,-4000000.0
Net Income From Continuing Operations,17227000000.0,10002000000.0,1367000000.0,-645000000.0
