,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,,169500000.0,-224800000.0,102960000.0,-50500000.0
Tax Rate For Calcs,,0.15,0.16,0.26,0.25
Normalized EBITDA,,18715000000.0,15204000000.0,5044000000.0,2709000000.0
Total Unusual Items,,1130000000.0,-1405000000.0,396000000.0,-202000000.0
Total Unusual Items Excluding Goodwill,,1130000000.0,-1405000000.0,396000000.0,-202000000.0
Net Income From Continuing Operation Net Minority Interest,,17067000000.0,9918000000.0,1403000000.0,-550000000.0
Reconciled Depreciation,,1107000000.0,1052000000.0,1291000000.0,1413000000.0
Reconciled Cost Of Revenue,,9990000000.0,8121000000.0,4513000000.0,4598000000.0
EBITDA,,19845000000.0,13799000000.0,5440000000.0,2507000000.0
EBIT,,18738000000.0,12747000000.0,4149000000.0,1094000000.0
Net Interest Income,,606000000.0,23000000.0,532000000.0,567000000.0
Interest Expense,,1735000000.0,2067000000.0,1514000000.0,1565000000.0
Interest Income,,2341000000.0,2090000000.0,2046000000.0,2132000000.0
Normalized Income,,16106500000.0,11098200000.0,1109960000.0,-398500000.0
Net Income From Continuing And Discontinued Operation,,17067000000.0,9918000000.0,1403000000.0,-550000000.0
Total Expenses,,38330000000.0,32578000000.0,19333000000.0,20884000000.0
Total Operating Income As Reported,,14177000000.0,11324000000.0,88000000.0,-1411000000.0
Diluted Average Shares,698378891.0,688704882.0,671062240.0,657092826.0,
Basic Average Shares,657754190.0,654035399.0,652859211.0,657092826.0,
Diluted EPS,47.67,24.78,14.78,2.14,
Basic EPS,50.62,26.1,15.19,2.17,
Diluted NI Availto Com Stockholders,,17067000000.0,9918000000.0,1403000000.0,-550000000.0
Average Dilution Earnings,,,,,0.0
Net Income Common Stockholders,,17067000000.0,9918000000.0,1403000000.0,-550000000.0
Net Income,,17067000000.0,9918000000.0,1403000000.0,-550000000.0
Minority Interests,,-160000000.0,-84000000.0,36000000.0,95000000.0
Net Income Including Noncontrolling Interests,,17227000000.0,10002000000.0,1367000000.0,-645000000.0
Net Income Continuous Operations,,17227000000.0,10002000000.0,1367000000.0,-645000000.0
Earnings From Equity Interest Net Of Tax,,2828000000.0,1072000000.0,-586000000.0,96000000.0
Tax Provision,,2604000000.0,1750000000.0,682000000.0,270000000.0
Pretax Income,,17003000000.0,10680000000.0,2635000000.0,-471000000.0
Other Income Expense,,1433000000.0,-1275000000.0,1397000000.0,-177000000.0
Other Non Operating Income Expenses,,303000000.0,130000000.0,-134000000.0,25000000.0
Special Income Charges,,-122000000.0,-115000000.0,-949000000.0,-96000000.0
Gain On Sale Of Business,,,,0.0,0.0
Write Off,,122000000.0,115000000.0,949000000.0,96000000.0
Earnings From Equity Interest,,0.0,0.0,1135000000.0,0.0
Gain On Sale Of Security,,1252000000.0,-1290000000.0,1345000000.0,-106000000.0
Net Non Operating Interest Income Expense,,606000000.0,23000000.0,532000000.0,567000000.0
Interest Expense Non Operating,,1735000000.0,2067000000.0,1514000000.0,1565000000.0
Interest Income Non Operating,,2341000000.0,2090000000.0,2046000000.0,2132000000.0
Operating Income,,14964000000.0,11932000000.0,706000000.0,-861000000.0
Operating Expense,,28340000000.0,24457000000.0,14820000000.0,16286000000.0
Other Operating Expenses,,-787000000.0,-608000000.0,-618000000.0,-550000000.0
Research And Development,,13139000000.0,12120000000.0,8341000000.0,8992000000.0
Selling General And Administration,,15988000000.0,12945000000.0,7097000000.0,7844000000.0
Selling And Marketing Expense,,11902000000.0,9202000000.0,4250000000.0,4922000000.0
General And Administrative Expense,,4086000000.0,3743000000.0,2847000000.0,2922000000.0
Other Gand A,,4086000000.0,3743000000.0,2847000000.0,2922000000.0
Gross Profit,,43304000000.0,36389000000.0,15526000000.0,15425000000.0
Cost Of Revenue,,9990000000.0,8121000000.0,4513000000.0,4598000000.0
Total Revenue,,53294000000.0,44510000000.0,20039000000.0,20023000000.0
Excise Taxes,,83000000.0,52000000.0,16000000.0,6000000.0
Operating Revenue,,48751000000.0,41094000000.0,17529000000.0,17505000000.0
