,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,432859941.0,409392524.0,384871561.0,374243000.0,
Share Issued,432859941.0,409392524.0,384871561.0,374243000.0,
Net Debt,179510000.0,721250000.0,1121425000.0,1222087000.0,
Total Debt,2235350000.0,2238922000.0,2711750000.0,2707171000.0,
Tangible Book Value,-579416000.0,-1041868000.0,-1390407000.0,-1594921000.0,
Invested Capital,5472782000.0,5429593000.0,5894392000.0,6235439000.0,
Working Capital,1286591000.0,1335864000.0,1430788000.0,1354356000.0,
Net Tangible Assets,-579416000.0,-1041868000.0,-1390407000.0,-1594921000.0,
Capital Lease Obligations,,,,,116268000.0
Common Stock Equity,3237432000.0,3190671000.0,3182642000.0,3528268000.0,
Total Capitalization,4916331000.0,5429593000.0,5894392000.0,6235439000.0,
Total Equity Gross Minority Interest,3496137000.0,3427148000.0,3414378000.0,3754129000.0,
Minority Interest,258705000.0,236477000.0,231736000.0,225861000.0,
Stockholders Equity,3237432000.0,3190671000.0,3182642000.0,3528268000.0,
Gains Losses Not Affecting Retained Earnings,-2156000.0,-9425000.0,-5009000.0,-1691000.0,
Other Equity Adjustments,-2156000.0,-9425000.0,-5009000.0,-1691000.0,
Retained Earnings,-4138709000.0,-3735944000.0,-3071830000.0,-2249819000.0,
Additional Paid In Capital,7378295000.0,6936038000.0,6259479000.0,5779776000.0,
Capital Stock,2000.0,2000.0,2000.0,2000.0,
Common Stock,2000.0,2000.0,2000.0,2000.0,
Preferred Stock,,,,,0.0
Total Liabilities Net Minority Interest,3341469000.0,3310259000.0,3829063000.0,4079856000.0,
Total Non Current Liabilities Net Minority Interest,1815597000.0,2420772000.0,2934960000.0,3069572000.0,
Other Non Current Liabilities,122660000.0,165004000.0,217195000.0,258959000.0,
Non Current Deferred Liabilities,14038000.0,16846000.0,6015000.0,103442000.0,
Non Current Deferred Revenue,14038000.0,16846000.0,6015000.0,103442000.0,
Long Term Debt And Capital Lease Obligation,1678899000.0,2238922000.0,2711750000.0,2707171000.0,
Long Term Capital Lease Obligation,,,,,92539000.0
Long Term Debt,1678899000.0,2238922000.0,2711750000.0,2707171000.0,
Current Liabilities,1525872000.0,889487000.0,894103000.0,1010284000.0,
Other Current Liabilities,,,,97610000.0,64759000.0
Current Deferred Liabilities,224405000.0,186304000.0,186769000.0,218102000.0,
Current Deferred Revenue,224405000.0,186304000.0,186769000.0,218102000.0,
Current Debt And Capital Lease Obligation,556451000.0,,,,23729000.0
Current Capital Lease Obligation,,,,,23729000.0
Current Debt,556451000.0,,,,
Other Current Borrowings,556451000.0,,,,
Pensionand Other Post Retirement Benefit Plans Current,75788000.0,74040000.0,90754000.0,121654000.0,
Payables And Accrued Expenses,669228000.0,629143000.0,616580000.0,670528000.0,
Current Accrued Expenses,123120000.0,124414000.0,126141000.0,107075000.0,
Payables,546108000.0,504729000.0,490439000.0,563453000.0,
Other Payable,431494000.0,394284000.0,385113000.0,445622000.0,
Total Tax Payable,100633000.0,96497000.0,90809000.0,97610000.0,
Income Tax Payable,100633000.0,96497000.0,90809000.0,97610000.0,
Accounts Payable,13981000.0,13948000.0,14517000.0,20221000.0,
Total Assets,6837606000.0,6737407000.0,7243441000.0,7833985000.0,
Total Non Current Assets,4025143000.0,4512056000.0,4918550000.0,5469345000.0,
Other Non Current Assets,140006000.0,180698000.0,204614000.0,224293000.0,
Goodwill And Other Intangible Assets,3816848000.0,4232539000.0,4573049000.0,5123189000.0,
Other Intangible Assets,650544000.0,1066235000.0,1406745000.0,1922234000.0,
Goodwill,3166304000.0,3166304000.0,3166304000.0,3200955000.0,
Net PPE,68289000.0,98819000.0,140887000.0,121863000.0,
Accumulated Depreciation,-172859000.0,-169950000.0,-143904000.0,-123624000.0,
Gross PPE,241148000.0,268769000.0,284791000.0,245487000.0,
Leases,49657000.0,76862000.0,105102000.0,99868000.0,
Construction In Progress,2886000.0,14073000.0,33771000.0,10442000.0,
Other Properties,,,,,98393000.0
Machinery Furniture Equipment,188605000.0,177834000.0,145918000.0,135177000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,2812463000.0,2225351000.0,2324891000.0,2364640000.0,
Other Current Assets,113012000.0,133795000.0,122843000.0,144070000.0,
Prepaid Assets,,,,144070000.0,73520000.0
Receivables,643611000.0,573884000.0,611723000.0,633775000.0,
Accounts Receivable,643611000.0,573884000.0,611723000.0,633775000.0,
Allowance For Doubtful Accounts Receivable,-10900000.0,-17300000.0,-16900000.0,-94000000.0,
Gross Accounts Receivable,654511000.0,591184000.0,628623000.0,727775000.0,
Cash Cash Equivalents And Short Term Investments,2055840000.0,1517672000.0,1590325000.0,1586795000.0,
Other Short Term Investments,,,0.0,101711000.0,681323000.0
Cash And Cash Equivalents,2055840000.0,1517672000.0,1590325000.0,1485084000.0,
