,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.004266,0.21,0.21
Normalized EBITDA,89753000.0,-234611000.0,-209349000.0,-663445000.0
Net Income From Continuing Operation Net Minority Interest,-402765000.0,-664114000.0,-822011000.0,-921062000.0
Reconciled Depreciation,460944000.0,408980000.0,563916000.0,211576000.0
Reconciled Cost Of Revenue,477739000.0,480853000.0,733722000.0,442500000.0
EBITDA,89753000.0,-234611000.0,-209349000.0,-663445000.0
EBIT,-371191000.0,-643591000.0,-773265000.0,-875021000.0
Net Interest Income,83855000.0,88016000.0,34949000.0,-212000.0
Interest Expense,24007000.0,23542000.0,24580000.0,7404000.0
Interest Income,107862000.0,111558000.0,59529000.0,7192000.0
Normalized Income,-402765000.0,-664114000.0,-822011000.0,-921062000.0
Net Income From Continuing And Discontinued Operation,-402765000.0,-664114000.0,-822011000.0,-921062000.0
Total Expenses,2328701000.0,2568404000.0,3020111000.0,2273237000.0
Total Operating Income As Reported,-479053000.0,-755149000.0,-832794000.0,-882213000.0
Diluted Average Shares,420914000.0,395951000.0,380457000.0,310504000.0
Basic Average Shares,420914000.0,395951000.0,380457000.0,310504000.0
Diluted EPS,-0.96,-1.68,-2.16,-2.96
Basic EPS,-0.96,-1.68,-2.16,-2.96
Diluted NI Availto Com Stockholders,-402765000.0,-664114000.0,-822011000.0,-921062000.0
Net Income Common Stockholders,-402765000.0,-664114000.0,-822011000.0,-921062000.0
Net Income,-402765000.0,-664114000.0,-822011000.0,-921062000.0
Minority Interests,-1272000.0,173000.0,4311000.0,-1574000.0
Net Income Including Noncontrolling Interests,-401493000.0,-664287000.0,-826322000.0,-919488000.0
Net Income Continuous Operations,-401493000.0,-664287000.0,-826322000.0,-919488000.0
Tax Provision,6295000.0,-2846000.0,28477000.0,37063000.0
Pretax Income,-395198000.0,-667133000.0,-797845000.0,-882425000.0
Net Non Operating Interest Income Expense,83855000.0,88016000.0,34949000.0,-212000.0
Interest Expense Non Operating,24007000.0,23542000.0,24580000.0,7404000.0
Interest Income Non Operating,107862000.0,111558000.0,59529000.0,7192000.0
Operating Income,-479053000.0,-755149000.0,-832794000.0,-882213000.0
Operating Expense,1850962000.0,2087551000.0,2286389000.0,1830737000.0
Research And Development,929516000.0,924830000.0,1053588000.0,959491000.0
Selling General And Administration,921446000.0,1162721000.0,1232801000.0,871246000.0
Selling And Marketing Expense,652907000.0,752649000.0,834625000.0,497956000.0
General And Administrative Expense,268539000.0,410072000.0,398176000.0,373290000.0
Other Gand A,268539000.0,410072000.0,398176000.0,373290000.0
Gross Profit,1371909000.0,1332402000.0,1453595000.0,948524000.0
Cost Of Revenue,477739000.0,480853000.0,733722000.0,442500000.0
Total Revenue,1849648000.0,1813255000.0,2187317000.0,1391024000.0
Operating Revenue,1849648000.0,1813255000.0,2187317000.0,1391024000.0
