,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,432859941.0,427778084.0,420440864.0,415406492.0,409392524.0,
Share Issued,432859941.0,427778084.0,420440864.0,415406492.0,409392524.0,
Net Debt,179510000.0,335749000.0,542210000.0,690973000.0,721250000.0,
Total Debt,2235350000.0,2234307000.0,2233255000.0,2232143000.0,2238922000.0,
Tangible Book Value,-579416000.0,-731829000.0,-873278000.0,-960839000.0,-1041868000.0,
Invested Capital,5472782000.0,5437804000.0,5420648000.0,5418192000.0,5429593000.0,
Working Capital,1286591000.0,1680325000.0,1524511000.0,1421041000.0,1335864000.0,
Net Tangible Assets,-579416000.0,-731829000.0,-873278000.0,-960839000.0,-1041868000.0,
Common Stock Equity,3237432000.0,3203497000.0,3187393000.0,3186049000.0,3190671000.0,
Total Capitalization,4916331000.0,5437804000.0,5420648000.0,5418192000.0,5429593000.0,
Total Equity Gross Minority Interest,3496137000.0,3454630000.0,3434075000.0,3426638000.0,3427148000.0,
Minority Interest,258705000.0,251133000.0,246682000.0,240589000.0,236477000.0,
Stockholders Equity,3237432000.0,3203497000.0,3187393000.0,3186049000.0,3190671000.0,
Gains Losses Not Affecting Retained Earnings,-2156000.0,-5278000.0,-6349000.0,-8501000.0,-9425000.0,
Other Equity Adjustments,-2156000.0,-5278000.0,-6349000.0,-8501000.0,-9425000.0,
Retained Earnings,-4138709000.0,-4048746000.0,-3922384000.0,-3813586000.0,-3735944000.0,
Additional Paid In Capital,7378295000.0,7257519000.0,7116124000.0,7008134000.0,6936038000.0,
Capital Stock,2000.0,2000.0,2000.0,2000.0,2000.0,
Common Stock,2000.0,2000.0,2000.0,2000.0,2000.0,
Total Liabilities Net Minority Interest,3341469000.0,3328667000.0,3282349000.0,3219317000.0,3310259000.0,
Total Non Current Liabilities Net Minority Interest,1815597000.0,2386432000.0,2399084000.0,2401716000.0,2420772000.0,
Other Non Current Liabilities,122660000.0,135376000.0,150349000.0,154863000.0,165004000.0,
Non Current Deferred Liabilities,14038000.0,16749000.0,15480000.0,14710000.0,16846000.0,
Non Current Deferred Revenue,14038000.0,16749000.0,15480000.0,14710000.0,16846000.0,
Long Term Debt And Capital Lease Obligation,1678899000.0,2234307000.0,2233255000.0,2232143000.0,2238922000.0,
Long Term Debt,1678899000.0,2234307000.0,2233255000.0,2232143000.0,2238922000.0,
Current Liabilities,1525872000.0,942235000.0,883265000.0,817601000.0,889487000.0,
Current Deferred Liabilities,224405000.0,225645000.0,219448000.0,188490000.0,186304000.0,
Current Deferred Revenue,224405000.0,225645000.0,219448000.0,188490000.0,186304000.0,
Current Debt And Capital Lease Obligation,556451000.0,,,,,
Current Debt,556451000.0,,,,,
Other Current Borrowings,556451000.0,,,,,
Pensionand Other Post Retirement Benefit Plans Current,75788000.0,,,,74040000.0,
Payables And Accrued Expenses,669228000.0,716590000.0,663817000.0,629111000.0,629143000.0,
Current Accrued Expenses,123120000.0,299394000.0,278850000.0,273444000.0,124414000.0,
Payables,546108000.0,417196000.0,384967000.0,355667000.0,504729000.0,
Other Payable,431494000.0,397190000.0,372719000.0,339129000.0,394284000.0,
Total Tax Payable,100633000.0,,,,96497000.0,
Income Tax Payable,100633000.0,,,,96497000.0,
Accounts Payable,13981000.0,20006000.0,12248000.0,16538000.0,13948000.0,
Total Assets,6837606000.0,6783297000.0,6716424000.0,6645955000.0,6737407000.0,
Total Non Current Assets,4025143000.0,4160737000.0,4308648000.0,4407313000.0,4512056000.0,
Other Non Current Assets,140006000.0,148785000.0,165551000.0,170453000.0,180698000.0,
Goodwill And Other Intangible Assets,3816848000.0,3935326000.0,4060671000.0,4146888000.0,4232539000.0,
Other Intangible Assets,650544000.0,769022000.0,894367000.0,980584000.0,1066235000.0,
Goodwill,3166304000.0,3166304000.0,3166304000.0,3166304000.0,3166304000.0,
Net PPE,68289000.0,76626000.0,82426000.0,89972000.0,98819000.0,
Accumulated Depreciation,-172859000.0,,,,-169950000.0,
Gross PPE,241148000.0,,,89972000.0,268769000.0,
Leases,49657000.0,,,,76862000.0,
Construction In Progress,2886000.0,,,,14073000.0,
Other Properties,,,,89972000.0,,
Machinery Furniture Equipment,188605000.0,,,,177834000.0,
Properties,0.0,,,,0.0,
Current Assets,2812463000.0,2622560000.0,2407776000.0,2238642000.0,2225351000.0,
Other Current Assets,113012000.0,123885000.0,120171000.0,144514000.0,133795000.0,
Receivables,643611000.0,600117000.0,596560000.0,552958000.0,573884000.0,
Accounts Receivable,643611000.0,600117000.0,596560000.0,552958000.0,573884000.0,
Allowance For Doubtful Accounts Receivable,-10900000.0,-11400000.0,-13200000.0,-15600000.0,-17300000.0,
Gross Accounts Receivable,654511000.0,611517000.0,609760000.0,568558000.0,591184000.0,
Cash Cash Equivalents And Short Term Investments,2055840000.0,1898558000.0,1691045000.0,1541170000.0,1517672000.0,
Cash And Cash Equivalents,2055840000.0,1898558000.0,1691045000.0,1541170000.0,1517672000.0,
Cash Equivalents,,1104898000.0,861472000.0,,,297426000.0
Cash Financial,,793660000.0,829573000.0,,,1107850000.0
