,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.079249,0.21,0.21,0.21,0.21
Normalized EBITDA,40862000.0,24485000.0,-1987000.0,26393000.0,-11385000.0
Net Income From Continuing Operation Net Minority Interest,-89963000.0,-126362000.0,-108798000.0,-77642000.0,-122727000.0
Reconciled Depreciation,131906000.0,135893000.0,96928000.0,96217000.0,103161000.0
Reconciled Cost Of Revenue,129239000.0,120332000.0,114211000.0,113957000.0,115537000.0
EBITDA,40862000.0,24485000.0,-1987000.0,26393000.0,-11385000.0
EBIT,-91044000.0,-111408000.0,-98915000.0,-69824000.0,-114546000.0
Net Interest Income,9423000.0,8405000.0,13807000.0,52220000.0,3269000.0
Interest Expense,6043000.0,6043000.0,6030000.0,5891000.0,5839000.0
Interest Income,15466000.0,14448000.0,19837000.0,58111000.0,9108000.0
Normalized Income,-89963000.0,-126362000.0,-108798000.0,-77642000.0,-122727000.0
Net Income From Continuing And Discontinued Operation,-89963000.0,-126362000.0,-108798000.0,-77642000.0,-122727000.0
Total Expenses,609599000.0,596471000.0,559696000.0,562935000.0,580753000.0
Total Operating Income As Reported,-106510000.0,-125856000.0,-118752000.0,-127935000.0,-123654000.0
Diluted Average Shares,429833000.0,424296000.0,417566000.0,411852000.0,405172000.0
Basic Average Shares,429833000.0,424296000.0,417566000.0,411852000.0,405172000.0
Diluted EPS,-0.21,-0.3,-0.26,-0.19,-0.3
Basic EPS,-0.21,-0.3,-0.26,-0.19,-0.3
Diluted NI Availto Com Stockholders,-89963000.0,-126362000.0,-108798000.0,-77642000.0,-122727000.0
Net Income Common Stockholders,-89963000.0,-126362000.0,-108798000.0,-77642000.0,-122727000.0
Net Income,-89963000.0,-126362000.0,-108798000.0,-77642000.0,-122727000.0
Minority Interests,-570000.0,466000.0,-1433000.0,265000.0,-204000.0
Net Income Including Noncontrolling Interests,-89393000.0,-126828000.0,-107365000.0,-77907000.0,-122523000.0
Net Income Continuous Operations,-89393000.0,-126828000.0,-107365000.0,-77907000.0,-122523000.0
Tax Provision,-7694000.0,9377000.0,2420000.0,2192000.0,2138000.0
Pretax Income,-97087000.0,-117451000.0,-104945000.0,-75715000.0,-120385000.0
Net Non Operating Interest Income Expense,9423000.0,8405000.0,13807000.0,52220000.0,3269000.0
Interest Expense Non Operating,6043000.0,6043000.0,6030000.0,5891000.0,5839000.0
Interest Income Non Operating,15466000.0,14448000.0,19837000.0,58111000.0,9108000.0
Operating Income,-106510000.0,-125856000.0,-118752000.0,-127935000.0,-123654000.0
Operating Expense,480360000.0,476139000.0,445485000.0,448978000.0,465216000.0
Research And Development,249727000.0,244357000.0,214807000.0,220625000.0,217970000.0
Selling General And Administration,230633000.0,231782000.0,230678000.0,228353000.0,247246000.0
Selling And Marketing Expense,163512000.0,165869000.0,161513000.0,162013000.0,175747000.0
General And Administrative Expense,67121000.0,65913000.0,69165000.0,66340000.0,71499000.0
Other Gand A,67121000.0,65913000.0,69165000.0,66340000.0,71499000.0
Gross Profit,373850000.0,350283000.0,326733000.0,321043000.0,341562000.0
Cost Of Revenue,129239000.0,120332000.0,114211000.0,113957000.0,115537000.0
Total Revenue,503089000.0,470615000.0,440944000.0,435000000.0,457099000.0
Operating Revenue,503089000.0,470615000.0,440944000.0,435000000.0,457099000.0
