form,filing_date,accession,description,primary_document,source
4,2026-04-21,0001363249-26-000024,PRIMARY DOCUMENT,xslF345X06/edgardoc.xml,sec_submissions
4,2026-04-21,0001363249-26-000023,PRIMARY DOCUMENT,xslF345X06/edgardoc.xml,sec_submissions
4,2026-03-24,0001363249-26-000020,PRIMARY DOCUMENT,xslF345X06/primary_doc.xml,sec_submissions
4,2026-03-05,0001363249-26-000008,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2026-02-27,0001242648-26-000016,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2026-02-27,0001242648-26-000015,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2026-02-27,0001242648-26-000014,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2026-02-26,0001242648-26-000010,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2026-02-24,0001242648-26-000008,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2026-02-24,0001242648-26-000007,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2026-02-24,0001242648-26-000006,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2026-02-24,0001242648-26-000005,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2026-01-21,0001363249-26-000006,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2026-01-02,0001363249-26-000004,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
3,2026-01-02,0001363249-26-000003,PRIMARY DOCUMENT,xslF345X02/edgardoc.xml,sec_submissions
4,2025-12-23,0001363249-25-000135,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-12-04,0001242648-25-000003,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-11-26,0001363249-25-000133,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-11-26,0001363249-25-000132,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-11-26,0001363249-25-000131,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-11-24,0001363249-25-000127,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-11-24,0001363249-25-000126,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-11-24,0001363249-25-000125,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-11-24,0001363249-25-000124,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-11-24,0001363249-25-000123,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-11-19,0001363249-25-000117,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-11-19,0001363249-25-000116,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-11-19,0001363249-25-000115,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-11-19,0001363249-25-000114,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-11-19,0001363249-25-000113,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-11-19,0001558880-25-000005,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-10-21,0001363249-25-000106,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-09-22,0001363249-25-000104,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-09-04,0001363249-25-000101,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-09-04,0001363249-25-000100,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-09-04,0001363249-25-000099,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-09-04,0001363249-25-000098,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-09-04,0001363249-25-000097,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-08-27,0001363249-25-000086,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-08-27,0001363249-25-000085,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-08-27,0001363249-25-000084,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-08-22,0001363249-25-000078,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-08-22,0001363249-25-000077,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-08-22,0001363249-25-000076,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-08-22,0001363249-25-000075,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-07-22,0001363249-25-000065,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-06-24,0001363249-25-000063,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-06-09,0001266824-25-000088,PRIMARY DOCUMENT,xslF345X05/primary_doc.xml,sec_submissions
4,2025-05-28,0001363249-25-000061,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-05-28,0001363249-25-000060,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-05-28,0001363249-25-000059,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-05-22,0001363249-25-000055,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-05-22,0001363249-25-000054,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-05-22,0001363249-25-000053,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-05-13,0001363249-25-000049,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-05-13,0001363249-25-000048,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-05-13,0001363249-25-000047,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-05-13,0001363249-25-000046,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-05-13,0001363249-25-000045,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-04-21,0001363249-25-000039,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-04-21,0001363249-25-000038,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-03-24,0001363249-25-000035,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-03-24,0001363249-25-000034,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-03-14,0001363249-25-000031,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
4,2025-03-14,0001363249-25-000030,PRIMARY DOCUMENT,xslF345X05/edgardoc.xml,sec_submissions
3,2025-03-14,0001363249-25-000029,PRIMARY DOCUMENT,xslF345X02/edgardoc.xml,sec_submissions
3,2025-03-14,0001363249-25-000028,PRIMARY DOCUMENT,xslF345X02/edgardoc.xml,sec_submissions
3,2025-03-14,0001363249-25-000027,PRIMARY DOCUMENT,xslF345X02/edgardoc.xml,sec_submissions
4,2025-03-04,0001363249-25-000021,PRIMARY DOCUMENT,xslF345X05/primary_doc.xml,sec_submissions
4,2025-03-04,0001363249-25-000020,PRIMARY DOCUMENT,xslF345X05/primary_doc.xml,sec_submissions
4,2025-03-04,0001363249-25-000019,PRIMARY DOCUMENT,xslF345X05/primary_doc.xml,sec_submissions
4,2025-03-04,0001363249-25-000018,PRIMARY DOCUMENT,xslF345X05/primary_doc.xml,sec_submissions
4,2025-03-04,0001363249-25-000017,PRIMARY DOCUMENT,xslF345X05/primary_doc.xml,sec_submissions
4,2025-03-04,0001363249-25-000016,PRIMARY DOCUMENT,xslF345X05/primary_doc.xml,sec_submissions
4,2025-03-04,0001363249-25-000015,PRIMARY DOCUMENT,xslF345X05/primary_doc.xml,sec_submissions
4,2025-03-04,0001363249-25-000014,PRIMARY DOCUMENT,xslF345X05/primary_doc.xml,sec_submissions
3,2025-03-03,0001363249-25-000013,PRIMARY DOCUMENT,xslF345X02/primary_doc.xml,sec_submissions
3,2025-03-03,0001363249-25-000012,PRIMARY DOCUMENT,xslF345X02/primary_doc.xml,sec_submissions
3,2025-03-03,0001363249-25-000011,PRIMARY DOCUMENT,xslF345X02/primary_doc.xml,sec_submissions
3,2025-03-03,0001363249-25-000010,PRIMARY DOCUMENT,xslF345X02/primary_doc.xml,sec_submissions
4,2025-02-25,0001363249-25-000009,PRIMARY DOCUMENT,xslF345X05/primary_doc.xml,sec_submissions
4,2025-02-25,0001363249-25-000008,PRIMARY DOCUMENT,xslF345X05/primary_doc.xml,sec_submissions
4,2025-02-25,0001363249-25-000007,PRIMARY DOCUMENT,xslF345X05/primary_doc.xml,sec_submissions
4,2025-02-25,0001266824-25-000003,PRIMARY DOCUMENT,xslF345X05/primary_doc.xml,sec_submissions
4,2025-02-14,0001266824-25-000002,PRIMARY DOCUMENT,xslF345X05/primary_doc.xml,sec_submissions
3,2025-01-31,0001266824-25-000001,PRIMARY DOCUMENT,xslF345X02/primary_doc.xml,sec_submissions
3,2025-01-31,0001363249-25-000006,PRIMARY DOCUMENT,xslF345X02/primary_doc.xml,sec_submissions
3,2025-01-31,0001363249-25-000005,PRIMARY DOCUMENT,xslF345X02/primary_doc.xml,sec_submissions
3,2025-01-31,0001363249-25-000004,PRIMARY DOCUMENT,xslF345X02/primary_doc.xml,sec_submissions
3,2025-01-31,0001363249-25-000003,PRIMARY DOCUMENT,xslF345X02/primary_doc.xml,sec_submissions
3,2025-01-31,0001363249-25-000002,PRIMARY DOCUMENT,xslF345X02/primary_doc.xml,sec_submissions
3,2025-01-31,0001363249-25-000001,PRIMARY DOCUMENT,xslF345X02/primary_doc.xml,sec_submissions
